"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia TUMBES (000)",54707,16535,9207,21669,1315,1773,1230,2978
"Agric., ganadería, caza y silvicultura (001)",8180,65,3075,3780,516,744,,
"Pesca (002)",2438,154,900,1272,96,16,,
"Explotación de minas y canteras (003)",46,6,26,14,,,,
"Industrias manufactureras (004)",3698,383,1471,1694,97,53,,
"Suministro de electricidad, gas y agua (005)",110,38,61,9,,2,,
"Construcción (006)",2987,135,1775,999,59,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9525,1954,314,6354,260,643,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",1036,107,188,671,38,32,,
"Comercio al por mayor (009)",572,231,88,212,17,24,,
"Comercio al por menor (010)",7917,1616,38,5471,205,587,,
"Hoteles y restaurantes (011)",2756,1009,123,1421,99,104,,
"Trans., almac. y comunicaciones (012)",6069,1296,670,3993,69,41,,
"Intermediación financiera (013)",266,243,1,18,2,2,,
"Activid.inmobil., empres. y alquileres (014)",2476,1855,147,418,38,18,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",3358,3145,213,,,,,
"Enseñanza (016)",4226,3925,2,285,7,7,,
"Servicios sociales y de salud (017)",920,818,12,80,9,1,,
"Otras activ. serv.comun.soc y personales (018)",1914,988,159,733,20,14,,
"Hogares privados con servicio doméstico (019)",1230,,,,,,1230,
"Organiz. y organos extraterritoriales (020)",1,1,,,,,,
"Actividad economica no especificada (021)",1529,520,258,599,43,109,,
"Desocupado (022)",2978,,,,,,,2978
"Hombres (023)",38842,9638,8214,16608,1081,1128,60,2113
"Agric., ganadería, caza y silvicultura (024)",7973,56,2999,3703,501,714,,
"Pesca (025)",2326,135,845,1237,94,15,,
"Explotación de minas y canteras (026)",43,4,26,13,,,,
"Industrias manufactureras (027)",2666,266,976,1306,82,36,,
"Suministro de electricidad, gas y agua (028)",105,33,61,9,,2,,
"Construcción (029)",2924,118,1746,984,57,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",5631,1146,289,3811,162,223,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",941,80,185,625,34,17,,
"Comercio al por mayor (032)",372,158,70,127,10,7,,
"Comercio al por menor (033)",4318,908,34,3059,118,199,,
"Hoteles y restaurantes (034)",980,423,59,418,44,36,,
"Trans., almac. y comunicaciones (035)",5800,1101,656,3942,65,36,,
"Intermediación financiera (036)",151,139,1,8,2,1,,
"Activid.inmobil., empres. y alquileres (037)",1880,1376,121,349,26,8,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",2392,2285,107,,,,,
"Enseñanza (039)",1589,1504,1,76,6,2,,
"Servicios sociales y de salud (040)",343,289,6,40,8,,,
"Otras activ. serv.comun.soc y personales (041)",1063,530,125,389,12,7,,
"Hogares privados con servicio doméstico (042)",60,,,,,,60,
"Actividad economica no especificada (044)",803,233,196,323,22,29,,
"Desocupado (045)",2113,,,,,,,2113
"Mujeres (046)",15865,6897,993,5061,234,645,1170,865
"Agric., ganadería, caza y silvicultura (047)",207,9,76,77,15,30,,
"Pesca (048)",112,19,55,35,2,1,,
"Explotación de minas y canteras (049)",3,2,,1,,,,
"Industrias manufactureras (050)",1032,117,495,388,15,17,,
"Suministro de electricidad, gas y agua (051)",5,5,,,,,,
"Construcción (052)",63,17,29,15,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",3894,808,25,2543,98,420,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",95,27,3,46,4,15,,
"Comercio al por mayor (055)",200,73,18,85,7,17,,
"Comercio al por menor (056)",3599,708,4,2412,87,388,,
"Hoteles y restaurantes (057)",1776,586,64,1003,55,68,,
"Trans., almac. y comunicaciones (058)",269,195,14,51,4,5,,
"Intermediación financiera (059)",115,104,,10,,1,,
"Activid.inmobil., empres. y alquileres (060)",596,479,26,69,12,10,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",966,860,106,,,,,
"Enseñanza (062)",2637,2421,1,209,1,5,,
"Servicios sociales y de salud (063)",577,529,6,40,1,1,,
"Otras activ. serv.comun.soc y personales (064)",851,458,34,344,8,7,,
"Hogares privados con servicio doméstico (065)",1170,,,,,,1170,
"Organiz. y organos extraterritoriales (066)",1,1,,,,,,
"Actividad economica no especificada (067)",726,287,62,276,21,80,,
"Desocupado (068)",865,,,,,,,865
,,,,,,,,
"URBANA (069)",50631,16027,8035,20181,1155,1395,1156,2682
"Agric., ganadería, caza y silvicultura (070)",5829,56,2223,2786,377,387,,
"Pesca (071)",2390,153,890,1236,95,16,,
"Explotación de minas y canteras (072)",44,6,25,13,,,,
"Industrias manufactureras (073)",3547,368,1369,1661,96,53,,
"Suministro de electricidad, gas y agua (074)",102,36,55,9,,2,,
"Construcción (075)",2930,132,1733,987,59,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",9211,1907,262,6162,248,632,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",989,102,171,649,35,32,,
"Comercio al por mayor (078)",496,202,57,196,17,24,,
"Comercio al por menor (079)",7726,1603,34,5317,196,576,,
"Hoteles y restaurantes (080)",2700,996,121,1384,99,100,,
"Trans., almac. y comunicaciones (081)",5797,1250,600,3847,63,37,,
"Intermediación financiera (082)",262,239,1,18,2,2,,
"Activid.inmobil., empres. y alquileres (083)",2394,1788,134,416,38,18,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",3282,3075,207,,,,,
"Enseñanza (085)",4038,3742,2,280,7,7,,
"Servicios sociales y de salud (086)",898,799,12,77,9,1,,
"Otras activ. serv.comun.soc y personales (087)",1871,968,151,719,20,13,,
"Hogares privados con servicio doméstico (088)",1156,,,,,,1156,
"Organiz. y organos extraterritoriales (089)",1,1,,,,,,
"Actividad economica no especificada (090)",1497,511,250,586,42,108,,
"Desocupado (091)",2682,,,,,,,2682
"Hombres (092)",35391,9361,7123,15270,928,769,57,1883
"Agric., ganadería, caza y silvicultura (093)",5667,48,2167,2721,365,366,,
"Pesca (094)",2280,134,837,1201,93,15,,
"Explotación de minas y canteras (095)",41,4,25,12,,,,
"Industrias manufactureras (096)",2565,254,915,1279,81,36,,
"Suministro de electricidad, gas y agua (097)",97,31,55,9,,2,,
"Construcción (098)",2867,115,1704,972,57,19,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",5435,1116,244,3705,153,217,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",899,77,168,605,32,17,,
"Comercio al por mayor (101)",317,139,46,115,10,7,,
"Comercio al por menor (102)",4219,900,30,2985,111,193,,
"Hoteles y restaurantes (103)",971,421,59,411,44,36,,
"Trans., almac. y comunicaciones (104)",5537,1061,587,3798,59,32,,
"Intermediación financiera (105)",150,138,1,8,2,1,,
"Activid.inmobil., empres. y alquileres (106)",1814,1322,111,347,26,8,,
