"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAZ (000)",44968,29530,15438
"Casa independiente (001)",41996,27169,14827
"Departamento en edificio (002)",813,813,
"Vivienda en quinta (003)",512,512,
"Vivienda en casa de vecindad (004)",692,692,
"Choza o cabaña (005)",609,,609
"Vivienda improvisada (006)",310,310,
"Local no dest.para hab. humana (007)",31,29,2
"Otro tipo (008)",5,5,
