"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MANU (000)",302,43,259
"Sin nivel (001)",11,2,9
"Primaria (003)",80,12,68
"Secundaria (004)",171,23,148
"Superior no univ. incompleta (005)",18,4,14
"Superior no univ. completa (006)",10,1,9
"Superior univ. incompleta (007)",4,1,3
"Superior univ. completa (008)",8,,8
"Hombres (010)",253,25,228
"Sin nivel (011)",10,1,9
"Primaria (013)",67,7,60
"Secundaria (014)",148,15,133
"Superior no univ. incompleta (015)",11,2,9
"Superior no univ. completa (016)",9,,9
"Superior univ. incompleta (017)",3,,3
"Superior univ. completa (018)",5,,5
"Mujeres (020)",49,18,31
"Sin nivel (021)",1,1,
"Primaria (023)",13,5,8
"Secundaria (024)",23,8,15
"Superior no univ. incompleta (025)",7,2,5
"Superior no univ. completa (026)",1,1,
"Superior univ. incompleta (027)",1,1,
"Superior univ. completa (028)",3,,3
,,,
"AREA URBANA (030)",63,18,45
"Sin nivel (031)",3,1,2
"Primaria (033)",12,4,8
"Secundaria (034)",30,9,21
"Superior no univ. incompleta (035)",7,2,5
"Superior no univ. completa (036)",6,1,5
"Superior univ. incompleta (037)",2,1,1
"Superior univ. completa (038)",3,,3
"Hombres (040)",48,9,39
"Sin nivel (041)",2,,2
"Primaria (043)",8,1,7
"Secundaria (044)",26,7,19
"Superior no univ. incompleta (045)",4,1,3
"Superior no univ. completa (046)",5,,5
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",2,,2
"Mujeres (050)",15,9,6
"Sin nivel (051)",1,1,
"Primaria (053)",4,3,1
"Secundaria (054)",4,2,2
"Superior no univ. incompleta (055)",3,1,2
"Superior no univ. completa (056)",1,1,
"Superior univ. incompleta (057)",1,1,
"Superior univ. completa (058)",1,,1
,,,
"AREA RURAL (060)",239,25,214
"Sin nivel (061)",8,1,7
"Primaria (063)",68,8,60
"Secundaria (064)",141,14,127
"Superior no univ. incompleta (065)",11,2,9
"Superior no univ. completa (066)",4,,4
"Superior univ. incompleta (067)",2,,2
"Superior univ. completa (068)",5,,5
"Hombres (070)",205,16,189
"Sin nivel (071)",8,1,7
"Primaria (073)",59,6,53
"Secundaria (074)",122,8,114
"Superior no univ. incompleta (075)",7,1,6
"Superior no univ. completa (076)",4,,4
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",3,,3
"Mujeres (080)",34,9,25
"Primaria (083)",9,2,7
"Secundaria (084)",19,6,13
"Superior no univ. incompleta (085)",4,1,3
"Superior univ. completa (088)",2,,2
