"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AYABACA (000)",137605,15093,122512
"Casa independiente (001)",135027,14916,120111
"Departamento en edificio (002)",4,4,
"Vivienda en quinta (003)",76,76,
"Vivienda en casa de vecindad (004)",79,79,
"Choza o cabaña (005)",2342,,2342
"Vivienda improvisada (006)",10,10,
"Local no dest.para hab. humana (007)",59,,59
"Otro tipo (008)",8,8,
