"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia OYON (000)",7149,21220,18879,,377,89,1.8
"De 12 a 14 años (001)",665,2,1,,,50,
"De 15 a 19 años (002)",886,127,125,38,98.4,29.9,
"De 20 a 24 años (003)",786,717,698,99,97.4,13.8,
"De 25 a 29 años (004)",720,1169,1137,82,97.3,7,
"De 30 a 34 años (005)",688,1683,1611,74,95.7,4.4,
"De 35 a 39 años (006)",709,2461,2307,56,93.7,2.3,
"De 40 a 44 años (007)",494,2179,2028,25,93.1,1.1,
"De 45 a 49 años (008)",449,2354,2127,3,90.4,0.1,
"De 50 y más años (009)",1752,10528,8845,,84,,
"Conviviente (010)",1912,5835,5421,211,92.9,3.6,
"De 12 a 14 años (011)",11,2,1,,50,,
"De 15 a 19 años (012)",129,76,74,28,97.4,36.8,
"De 20 a 24 años (013)",324,407,395,61,97.1,15,
"De 25 a 29 años (014)",338,660,644,53,97.6,8,
"De 30 a 34 años (015)",302,793,770,35,97.1,4.4,
"De 35 a 39 años (016)",264,981,923,23,94.1,2.3,
"De 40 a 44 años (017)",171,749,701,10,93.6,1.3,
"De 45 a 49 años (018)",128,713,662,1,92.8,0.1,
"De 50 y más años (019)",245,1454,1251,,86,,
"Separado(a) (020)",225,725,644,16,88.8,2.2,
"De 15 a 19 años (022)",14,18,18,3,100,16.7,
"De 20 a 24 años (023)",21,25,25,2,100,8,
"De 25 a 29 años (024)",27,35,33,3,94.3,8.6,
"De 30 a 34 años (025)",26,58,57,4,98.3,6.9,
"De 35 a 39 años (026)",35,108,104,4,96.3,3.7,
"De 40 a 44 años (027)",22,83,77,,92.8,,
"De 45 a 49 años (028)",18,83,69,,83.1,,
"De 50 y más años (029)",62,315,261,,82.9,,
"Casado(a) (030)",2262,10538,9394,121,89.1,1.1,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",13,6,6,2,100,33.3,
"De 20 a 24 años (033)",126,188,183,21,97.3,11.2,
"De 25 a 29 años (034)",191,394,381,22,96.7,5.6,
"De 30 a 34 años (035)",252,735,694,33,94.4,4.5,
"De 35 a 39 años (036)",328,1259,1174,27,93.2,2.1,
"De 40 a 44 años (037)",242,1178,1096,14,93,1.2,
"De 45 a 49 años (038)",237,1361,1213,2,89.1,0.1,
"De 50 y más años (039)",871,5417,4647,,85.8,,
