"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CAJATAMBO (000)",8145,4977,3168
"Casa independiente (001)",7441,4718,2723
"Departamento en edificio (002)",5,5,
"Vivienda en quinta (003)",32,32,
"Vivienda en casa de vecindad (004)",201,201,
"Choza o cabaña (005)",441,,441
"Vivienda improvisada (006)",1,1,
"Local no dest.para hab. humana (007)",24,20,4
