"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia MARISCAL LUZURIAGA (000)",348,134,214
"Sin nivel (001)",101,24,77
"Primaria (003)",109,53,56
"Secundaria (004)",100,42,58
"Superior no univ. incompleta (005)",8,2,6
"Superior no univ. completa (006)",22,8,14
"Superior univ. incompleta (007)",5,2,3
"Superior univ. completa (008)",3,3,
"Hombres (010)",275,108,167
"Sin nivel (011)",75,18,57
"Primaria (013)",89,44,45
"Secundaria (014)",85,35,50
"Superior no univ. incompleta (015)",5,1,4
"Superior no univ. completa (016)",14,6,8
"Superior univ. incompleta (017)",5,2,3
"Superior univ. completa (018)",2,2,
"Mujeres (020)",73,26,47
"Sin nivel (021)",26,6,20
"Primaria (023)",20,9,11
"Secundaria (024)",15,7,8
"Superior no univ. incompleta (025)",3,1,2
"Superior no univ. completa (026)",8,2,6
"Superior univ. completa (028)",1,1,
,,,
"AREA URBANA (030)",17,6,11
"Sin nivel (031)",2,,2
"Primaria (033)",1,1,
"Secundaria (034)",4,2,2
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",8,2,6
"Superior univ. incompleta (037)",1,1,
"Hombres (040)",11,3,8
"Sin nivel (041)",1,,1
"Secundaria (044)",3,1,2
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",5,1,4
"Superior univ. incompleta (047)",1,1,
"Mujeres (050)",6,3,3
"Sin nivel (051)",1,,1
"Primaria (053)",1,1,
"Secundaria (054)",1,1,
"Superior no univ. completa (056)",3,1,2
,,,
"AREA RURAL (060)",331,128,203
"Sin nivel (061)",99,24,75
"Primaria (063)",108,52,56
"Secundaria (064)",96,40,56
"Superior no univ. incompleta (065)",7,2,5
"Superior no univ. completa (066)",14,6,8
"Superior univ. incompleta (067)",4,1,3
"Superior univ. completa (068)",3,3,
"Hombres (070)",264,105,159
"Sin nivel (071)",74,18,56
"Primaria (073)",89,44,45
"Secundaria (074)",82,34,48
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",9,5,4
"Superior univ. incompleta (077)",4,1,3
"Superior univ. completa (078)",2,2,
"Mujeres (080)",67,23,44
"Sin nivel (081)",25,6,19
"Primaria (083)",19,8,11
"Secundaria (084)",14,6,8
"Superior no univ. incompleta (085)",3,1,2
"Superior no univ. completa (086)",5,1,4
"Superior univ. completa (088)",1,1,
