"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia PARURO (000)",8832,689,1152,5445,114,1372,60
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",39,38,,,1,,
"Profes., científicos e intelectuales (002)",349,285,,63,1,,
"Técnicos de nivel medio y trab. asimilados (003)",72,60,,10,1,1,
"Jefes y empleados de oficina (004)",90,90,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",535,67,4,388,3,73,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4602,1,,4501,100,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",152,,70,64,2,16,
"Obreros construc.,conf., papel, fab., instr. (008)",325,36,175,84,6,24,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",2250,52,851,101,,1186,60
"Otra (010)",36,36,,,,,
"Ocupación no especificada (011)",382,24,52,234,,72,
"Hombres (012)",6594,435,1047,4427,101,569,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,31,,,1,,
"Profes., científicos e intelectuales (014)",183,159,,24,,,
"Técnicos de nivel medio y trab. asimilados (015)",49,39,,8,1,1,
"Jefes y empleados de oficina (016)",58,58,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",111,34,2,68,2,5,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",4178,1,,4088,89,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",119,,66,44,2,7,
"Obreros construc.,conf., papel, fab., instr. (020)",319,35,173,82,6,23,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",1351,28,761,27,,520,15
"Otra (022)",36,36,,,,,
"Ocupación no especificada (023)",158,14,45,86,,13,
"Mujeres (024)",2238,254,105,1018,13,803,45
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",7,7,,,,,
"Profes., científicos e intelectuales (026)",166,126,,39,1,,
"Técnicos de nivel medio y trab. asimilados (027)",23,21,,2,,,
"Jefes y empleados de oficina (028)",32,32,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",424,33,2,320,1,68,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",424,,,413,11,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",33,,4,20,,9,
"Obreros construc.,conf., papel, fab., instr. (032)",6,1,2,2,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",899,24,90,74,,666,45
"Ocupación no especificada (035)",224,10,7,148,,59,
,,,,,,,
"URBANA (036)",3532,503,394,2033,80,476,46
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",30,30,,,,,
"Profes., científicos e intelectuales (038)",267,212,,55,,,
"Técnicos de nivel medio y trab. asimilados (039)",52,45,,5,1,1,
"Jefes y empleados de oficina (040)",70,70,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",348,30,1,277,3,37,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1542,1,,1469,72,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",84,,28,46,1,9,
"Obreros construc.,conf., papel, fab., instr. (044)",186,26,96,53,3,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",787,37,244,73,,387,46
"Otra (046)",35,35,,,,,
"Ocupación no especificada (047)",131,17,25,55,,34,
"Hombres (048)",2428,319,353,1480,73,190,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",24,24,,,,,
"Profes., científicos e intelectuales (050)",137,117,,20,,,
"Técnicos de nivel medio y trab. asimilados (051)",35,29,,4,1,1,
"Jefes y empleados de oficina (052)",45,45,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",72,14,1,51,2,4,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1351,1,,1284,66,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",61,,26,31,1,3,
"Obreros construc.,conf., papel, fab., instr. (056)",182,26,94,51,3,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",427,19,214,15,,166,13
"Otra (058)",35,35,,,,,
"Ocupación no especificada (059)",59,9,18,24,,8,
"Mujeres (060)",1104,184,41,553,7,286,33
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",6,6,,,,,
"Profes., científicos e intelectuales (062)",130,95,,35,,,
"Técnicos de nivel medio y trab. asimilados (063)",17,16,,1,,,
"Jefes y empleados de oficina (064)",25,25,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",276,16,,226,1,33,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",191,,,185,6,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",23,,2,15,,6,
"Obreros construc.,conf., papel, fab., instr. (068)",4,,2,2,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",360,18,30,58,,221,33
"Ocupación no especificada (071)",72,8,7,31,,26,
,,,,,,,
"RURAL (072)",5300,186,758,3412,34,896,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,8,,,1,,
"Profes., científicos e intelectuales (074)",82,73,,8,1,,
"Técnicos de nivel medio y trab. asimilados (075)",20,15,,5,,,
"Jefes y empleados de oficina (076)",20,20,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",187,37,3,111,,36,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",3060,,,3032,28,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",68,,42,18,1,7,
"Obreros construc.,conf., papel, fab., instr. (080)",139,10,79,31,3,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",1463,15,607,28,,799,14
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",251,7,27,179,,38,
"Hombres (084)",4166,116,694,2947,28,379,2
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,7,,,1,,
"Profes., científicos e intelectuales (086)",46,42,,4,,,
"Técnicos de nivel medio y trab. asimilados (087)",14,10,,4,,,
"Jefes y empleados de oficina (088)",13,13,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",39,20,1,17,,1,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2827,,,2804,23,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",58,,40,13,1,4,
"Obreros construc.,conf., papel, fab., instr. (092)",137,9,79,31,3,15,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",924,9,547,12,,354,2
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",99,5,27,62,,5,
"Mujeres (096)",1134,70,64,465,6,517,12
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",1,1,,,,,
"Profes., científicos e intelectuales (098)",36,31,,4,1,,
"Técnicos de nivel medio y trab. asimilados (099)",6,5,,1,,,
"Jefes y empleados de oficina (100)",7,7,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",148,17,2,94,,35,
