"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia SAN MARCOS (000)",13061,49938,2690,10551,10371,39387
"Casa independiente (001)",12263,47108,2562,10121,9701,36987
"Departamento en edificio (002)",21,67,21,67,,
"Vivienda en quinta (003)",89,304,89,304,,
"Vivienda en casa de vecindad (004)",16,55,16,55,,
"Choza o cabaña (005)",665,2379,,,665,2379
"Vivienda improvisada (006)",1,2,1,2,,
"Local no dest.para hab. humana (007)",6,23,1,2,5,21
