"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LA CONVENCION (000)",55905,149948,134376,,3050,89.6,2
"De 12 a 14 años (001)",5815,46,42,,10,91.3,21.7
"De 15 a 19 años (002)",7601,1858,1822,453,98.1,24.4,
"De 20 a 24 años (003)",6613,7278,7113,798,97.7,11,
"De 25 a 29 años (004)",6392,12071,11718,680,97.1,5.6,
"De 30 a 34 años (005)",5524,14880,14295,520,96.1,3.5,
"De 35 a 39 años (006)",5402,18804,17834,391,94.8,2.1,
"De 40 a 44 años (007)",4566,19756,18210,163,92.2,0.8,
"De 45 a 49 años (008)",3769,18336,16452,35,89.7,0.2,
"De 50 y más años (009)",10223,56919,46890,,82.4,,
"Conviviente (010)",22694,64913,60370,2341,93,3.6,
"De 12 a 14 años (011)",99,24,22,4,91.7,16.7,
"De 15 a 19 años (012)",1839,1413,1384,353,97.9,25,
"De 20 a 24 años (013)",4171,5882,5744,688,97.7,11.7,
"De 25 a 29 años (014)",4366,9247,8966,544,97,5.9,
"De 30 a 34 años (015)",3552,10192,9769,378,95.8,3.7,
"De 35 a 39 años (016)",3082,11110,10571,261,95.1,2.3,
"De 40 a 44 años (017)",2224,9799,9056,92,92.4,0.9,
"De 45 a 49 años (018)",1401,6847,6159,21,90,0.3,
"De 50 y más años (019)",1960,10399,8699,,83.7,,
"Separado(a) (020)",2110,5924,5437,122,91.8,2.1,
"De 12 a 14 años (021)",4,1,1,1,100,100,
"De 15 a 19 años (022)",151,148,148,44,100,29.7,
"De 20 a 24 años (023)",274,350,346,23,98.9,6.6,
"De 25 a 29 años (024)",284,511,499,26,97.7,5.1,
"De 30 a 34 años (025)",298,650,632,19,97.2,2.9,
"De 35 a 39 años (026)",289,846,790,5,93.4,0.6,
"De 40 a 44 años (027)",251,882,831,3,94.2,0.3,
"De 45 a 49 años (028)",207,863,779,1,90.3,0.1,
"De 50 y más años (029)",352,1673,1411,,84.3,,
"Casado(a) (030)",12276,57817,51182,457,88.5,0.8,
"De 12 a 14 años (031)",9,5,3,,60,,
"De 15 a 19 años (032)",92,74,73,13,98.6,17.6,
"De 20 a 24 años (033)",315,559,546,36,97.7,6.4,
"De 25 a 29 años (034)",796,1902,1850,98,97.3,5.2,
"De 30 a 34 años (035)",1163,3529,3409,112,96.6,3.2,
