"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JAEN (000)",62184,3921,70,26755,19423,2115,4068,1364,4468
"Agric., ganadería, caza y silvicultura (001)",31610,3103,43,19455,8216,254,223,111,205
"Pesca (002)",7,,,1,5,,,1,
"Explotación de minas y canteras (003)",66,1,,9,17,7,11,5,16
"Industrias manufactureras (004)",2269,51,1,714,1050,120,150,66,117
"Suministro de electricidad, gas y agua (005)",88,1,,9,34,7,25,2,10
"Construcción (006)",2193,50,4,701,943,117,141,63,174
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",7418,223,10,2211,3163,464,659,289,399
"Venta, mant.y rep. veh.autom.y motoc. (008)",941,13,,155,431,86,148,40,68
"Comercio al por mayor (009)",386,4,,81,163,27,51,17,43
"Comercio al por menor (010)",6091,206,10,1975,2569,351,460,232,288
"Hoteles y restaurantes (011)",1824,100,2,675,727,102,108,42,68
"Trans., almac. y comunicaciones (012)",4093,34,5,938,2362,238,233,148,135
"Intermediación financiera (013)",136,,,1,11,9,37,18,60
"Activid.inmobil., empres. y de alquiler (014)",1334,10,,70,257,146,289,119,443
"Admin.pub. y defensa; p. segur.soc.afil (015)",1043,12,1,127,302,67,219,85,230
"Enseñanza (016)",3843,1,,8,216,236,1359,201,1822
"Servicios sociales y de salud (017)",929,8,,39,84,64,249,38,447
"Otras activ. serv.comun.soc y personales (018)",1316,82,1,427,516,74,81,49,86
"Hogares privados con servicio doméstico (019)",1460,121,1,642,578,56,36,9,17
"Actividad economica no especificada (021)",2555,124,2,728,942,154,248,118,239
"Hombres (022)",47316,2736,61,21884,15499,1328,2300,909,2599
"Agric., ganadería, caza y silvicultura (023)",28480,2459,40,17562,7700,234,198,104,183
"Pesca (024)",5,,,,5,,,,
"Explotación de minas y canteras (025)",61,1,,8,17,6,11,5,13
"Industrias manufactureras (026)",1710,33,1,556,823,74,96,46,81
"Suministro de electricidad, gas y agua (027)",78,1,,9,33,5,21,1,8
"Construcción (028)",2151,47,4,691,931,115,136,63,164
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",4210,65,8,1202,1920,247,358,175,235
"Venta, mant.y rep. veh.autom.y motoc. (030)",847,13,,143,386,76,133,35,61
"Comercio al por mayor (031)",260,3,,48,125,14,27,14,29
"Comercio al por menor (032)",3103,49,8,1011,1409,157,198,126,145
"Hoteles y restaurantes (033)",670,21,1,206,295,47,46,25,29
"Trans., almac. y comunicaciones (034)",3897,31,5,919,2285,215,199,127,116
"Intermediación financiera (035)",78,,,1,8,6,17,7,39
"Activid.inmobil., empres. y de alquiler (036)",833,3,,43,187,87,149,70,294
"Admin.pub. y defensa; p. segur.soc.afil (037)",787,7,1,83,242,46,162,69,177
"Enseñanza (038)",1777,1,,5,68,87,657,90,869
"Servicios sociales y de salud (039)",403,4,,15,37,32,98,18,199
"Otras activ. serv.comun.soc y personales (040)",789,19,1,236,358,43,41,34,57
"Hogares privados con servicio doméstico (041)",65,8,,19,26,7,2,1,2
"Actividad economica no especificada (043)",1322,36,,329,564,77,109,74,133
