"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CASTROVIRREYNA (000)",6719,23959,20875,,320,87.1,1.3
"De 12 a 14 años (001)",660,6,6,,2,100,33.3
"De 15 a 19 años (002)",777,134,134,39,100,29.1,
"De 20 a 24 años (003)",568,568,551,70,97,12.3,
"De 25 a 29 años (004)",557,1150,1105,71,96.1,6.2,
"De 30 a 34 años (005)",556,1673,1602,60,95.8,3.6,
"De 35 a 39 años (006)",526,2222,2093,52,94.2,2.3,
"De 40 a 44 años (007)",568,2331,2140,21,91.8,0.9,
"De 45 a 49 años (008)",387,2238,2003,5,89.5,0.2,
"De 50 y más años (009)",2120,13637,11241,,82.4,,
"PEA (010)",1982,7603,6767,96,89,1.3,
"De 12 a 14 años (011)",29,3,3,1,100,33.3,
"De 15 a 19 años (012)",97,36,36,9,100,25,
"De 20 a 24 años (013)",191,178,171,21,96.1,11.8,
"De 25 a 29 años (014)",218,354,337,13,95.2,3.7,
"De 30 a 34 años (015)",228,594,574,20,96.6,3.4,
"De 35 a 39 años (016)",223,826,786,20,95.2,2.4,
"De 40 a 44 años (017)",214,910,833,10,91.5,1.1,
"De 45 a 49 años (018)",168,908,827,2,91.1,0.2,
"De 50 y más años (019)",614,3794,3200,,84.3,,
"Ocupada (020)",1943,7563,6729,96,89,1.3,
"De 12 a 14 años (021)",28,3,3,1,100,33.3,
"De 15 a 19 años (022)",85,33,33,9,100,27.3,
"De 20 a 24 años (023)",182,175,168,21,96,12,
"De 25 a 29 años (024)",211,350,333,13,95.1,3.7,
"De 30 a 34 años (025)",223,576,558,20,96.9,3.5,
"De 35 a 39 años (026)",223,826,786,20,95.2,2.4,
"De 40 a 44 años (027)",211,900,823,10,91.4,1.1,
"De 45 a 49 años (028)",167,908,827,2,91.1,0.2,
"De 50 y más años (029)",613,3792,3198,,84.3,,
"Desocupada (030)",39,40,38,,95,,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",12,3,3,,100,,
"De 20 a 24 años (033)",9,3,3,,100,,
"De 25 a 29 años (034)",7,4,4,,100,,
"De 30 a 34 años (035)",5,18,16,,88.9,,
"De 40 a 44 años (037)",3,10,10,,100,,
"De 45 a 49 años (038)",1,,,,,,
"De 50 y más años (039)",1,2,2,,100,,
