"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia JAUJA (000)",25837,307,1023,2026,3473,5370,8085,5553
"De 12 a 14 años (001)",24,,,,,,1,23
"De 15 a 19 años (002)",428,,,,,,281,147
"De 20 a 24 años (003)",2088,,,,,5,1249,834
"De 25 a 29 años (004)",2647,,,,,117,1783,747
"De 30 a 34 años (005)",2677,,,,,487,1701,489
"De 35 a 39 años (006)",2941,,,,27,909,1551,454
"De 40 a 44 años (007)",2701,,,1,166,1162,994,378
"De 45 a 49 años (008)",2342,,,19,404,1169,445,305
"De 50 y más años (009)",9989,307,1023,2006,2876,1521,80,2176
"Sin nivel (010)",3577,142,384,632,627,496,334,962
"De 12 a 14 años (011)",3,,,,,,1,2
"De 15 a 19 años (012)",11,,,,,,1,10
"De 20 a 24 años (013)",27,,,,,,14,13
"De 25 a 29 años (014)",61,,,,,1,37,23
"De 30 a 34 años (015)",106,,,,,25,64,17
"De 35 a 39 años (016)",165,,,,,51,92,22
"De 40 a 44 años (017)",165,,,,7,62,67,29
"De 45 a 49 años (018)",196,,,3,26,99,45,23
"De 50 y más años (019)",2843,142,384,629,594,258,13,823
"Educacion Inicial (020)",16,,,,,3,11,2
"De 20 a 24 años (023)",3,,,,,,2,1
"De 25 a 29 años (024)",5,,,,,,4,1
"De 30 a 34 años (025)",4,,,,,2,2,
"De 35 a 39 años (026)",4,,,,,1,3,
"Primaria (030)",9621,132,512,1006,1665,2075,2571,1660
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",99,,,,,,75,24
"De 20 a 24 años (033)",379,,,,,1,252,126
"De 25 a 29 años (034)",610,,,,,29,447,134
"De 30 a 34 años (035)",753,,,,,135,512,106
"De 35 a 39 años (036)",992,,,,8,292,583,109
"De 40 a 44 años (037)",978,,,,44,388,430,116
"De 45 a 49 años (038)",934,,,7,132,463,228,104
"De 50 y más años (039)",4868,132,512,999,1481,767,44,933
"Secundaria (040)",7513,25,73,228,743,1784,3207,1453
"De 12 a 14 años (041)",13,,,,,,,13
"De 15 a 19 años (042)",285,,,,,,184,101
"De 20 a 24 años (043)",1029,,,,,3,681,345
"De 25 a 29 años (044)",1030,,,,,55,751,224
"De 30 a 34 años (045)",976,,,,,208,615,153
"De 35 a 39 años (046)",1056,,,,13,361,528,154
"De 40 a 44 años (047)",955,,,,76,445,308,126
"De 45 a 49 años (048)",777,,,5,165,386,127,94
"De 50 y más años (049)",1392,25,73,223,489,326,13,243
"Sup. no Univ. incompleta (050)",1077,,10,22,58,191,487,309
"De 15 a 19 años (052)",25,,,,,,15,10
