"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia JORGE BASADRE (000)",3171,9239,1897,5631,1274,3608
"Casa independiente (001)",1824,6129,961,3518,863,2611
"Departamento en edificio (002)",745,1662,745,1662,,
"Vivienda en quinta (003)",25,51,25,51,,
"Vivienda en casa de vecindad (004)",138,301,138,301,,
"Choza o cabaña (005)",402,973,,,402,973
"Vivienda improvisada (006)",19,74,19,74,,
"Local no dest.para hab. humana (007)",16,45,8,23,8,22
"Otro tipo (008)",2,4,1,2,1,2
