"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia VILCAS HUAMAN (000)",23154,7056,16098
"Casa independiente (001)",22590,6925,15665
"Vivienda en quinta (003)",100,100,
"Vivienda en casa de vecindad (004)",27,27,
"Choza o cabaña (005)",432,,432
"Vivienda improvisada (006)",3,3,
"Local no dest.para hab. humana (007)",1,1,
"Otro tipo (008)",1,,1
