"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ACOMAYO (000)",7198,6894,32,1016,1170,1173,1979,1077,367,80,304,26446
"De 12 a 14 años (001)",15,4,,4,,,,,,,11,4
"De 15 a 19 años (002)",146,118,3,100,14,1,,,,,28,131
"De 20 a 24 años (003)",653,539,2,297,166,54,18,2,,,114,877
"De 25 a 29 años (004)",772,716,,174,221,189,121,10,1,,56,1765
"De 30 a 34 años (005)",822,794,1,81,175,189,274,70,4,,28,2665
"De 35 a 39 años (006)",857,842,1,47,116,173,316,150,36,3,15,3494
"De 40 a 44 años (007)",743,733,2,37,89,116,254,161,56,18,10,3390
"De 45 a 49 años (008)",591,583,4,39,71,74,177,139,65,14,8,2769
"De 50 y más años (009)",2599,2565,19,237,318,377,819,545,205,45,34,11351
"PEA (010)",2266,2144,3,390,369,386,535,329,114,18,122,7897
"De 15 a 19 años (012)",49,39,,31,8,,,,,,10,47
"De 20 a 24 años (013)",206,162,,112,34,12,3,1,,,44,234
"De 25 a 29 años (014)",246,217,,72,54,62,26,2,1,,29,499
"De 30 a 34 años (015)",280,266,,39,76,62,67,21,1,,14,801
"De 35 a 39 años (016)",319,311,,25,60,77,95,43,10,1,8,1169
"De 40 a 44 años (017)",266,261,1,19,40,46,85,51,14,5,5,1108
"De 45 a 49 años (018)",215,213,,20,28,29,50,59,24,3,2,988
"De 50 y más años (019)",685,675,2,72,69,98,209,152,64,9,10,3051
"Ocupada (020)",2224,2111,3,379,362,382,527,326,114,18,113,7802
"De 15 a 19 años (022)",46,36,,28,8,,,,,,10,44
"De 20 a 24 años (023)",196,159,,110,33,12,3,1,,,37,230
"De 25 a 29 años (024)",241,212,,71,53,59,26,2,1,,29,487
