"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ISLAY (000)",22701,145,6241,8480,6430,1405
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",43,,2,15,23,3
"Profes., científicos e intelectuales (002)",1213,,233,652,303,25
"Técnicos de nivel medio y trab.asimilados (003)",936,3,264,375,263,31
"Jefes y empleados de oficina (004)",899,,258,370,254,17
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2968,15,729,1169,889,166
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2154,1,303,722,804,324
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1524,5,526,519,424,50
"Obreros construc., conf., papel, fab., instr. (008)",2062,3,479,856,650,74
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",8589,111,2690,3087,2242,459
"Otra (010)",248,,64,121,63,
"Ocupación no especificada (011)",635,,100,135,195,205
"Desocupado (012)",1430,7,593,459,320,51
"Hombres (013)",14643,97,3910,5332,4278,1026
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",26,,1,11,13,1
"Profes., científicos e intelectuales (015)",527,,91,243,172,21
"Técnicos de nivel medio y trab.asimilados (016)",611,,167,247,173,24
"Jefes y empleados de oficina (017)",451,,85,190,164,12
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1103,8,285,436,308,66
"Agricult.trabaj. calif. agrop. y pesqueros (019)",1861,1,261,634,681,284
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",1324,5,470,444,359,46
"Obreros construc., conf., papel, fab., instr. (021)",2011,3,462,831,643,72
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",5024,76,1591,1772,1310,275
"Otra (023)",237,,57,119,61,
"Ocupación no especificada (024)",452,,42,73,155,182
"Desocupado (025)",1016,4,398,332,239,43
"Mujeres (026)",8058,48,2331,3148,2152,379
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",17,,1,4,10,2
"Profes., científicos e intelectuales (028)",686,,142,409,131,4
"Técnicos de nivel medio y trab.asimilados (029)",325,3,97,128,90,7
"Jefes y empleados de oficina (030)",448,,173,180,90,5
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1865,7,444,733,581,100
"Agricult.trabaj. calif. agrop. y pesqueros (032)",293,,42,88,123,40
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",200,,56,75,65,4
