"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ABANCAY (000)",90364,4148,10692,13037,10592,15314,12496,18084,6001
"Sabe leer y escribir (001)",75400,,8352,12968,10510,15016,11692,14277,2585
"No sabe leer y escribir (002)",14964,4148,2340,69,82,298,804,3807,3416
"Hombres (004)",44682,2116,5494,6739,5396,7333,5950,8879,2775
"Sabe leer y escribir (005)",39225,,4299,6701,5358,7245,5783,8056,1783
"No sabe leer y escribir (006)",5457,2116,1195,38,38,88,167,823,992
"Mujeres (008)",45682,2032,5198,6298,5196,7981,6546,9205,3226
"Sabe leer y escribir (009)",36175,,4053,6267,5152,7771,5909,6221,802
"No sabe leer y escribir (010)",9507,2032,1145,31,44,210,637,2984,2424
,,,,,,,,,
"URBANA (012)",57445,2367,6387,8028,7558,10965,8366,10858,2916
"Sabe leer y escribir (013)",51374,,5265,8011,7534,10896,8175,9775,1718
"No sabe leer y escribir (014)",6071,2367,1122,17,24,69,191,1083,1198
"Hombres (016)",27904,1223,3268,4052,3719,5184,3904,5260,1294
"Sabe leer y escribir (017)",25673,,2704,4043,3710,5164,3872,5114,1066
"No sabe leer y escribir (018)",2231,1223,564,9,9,20,32,146,228
"Mujeres (020)",29541,1144,3119,3976,3839,5781,4462,5598,1622
"Sabe leer y escribir (021)",25701,,2561,3968,3824,5732,4303,4661,652
"No sabe leer y escribir (022)",3840,1144,558,8,15,49,159,937,970
,,,,,,,,,
"RURAL (024)",32919,1781,4305,5009,3034,4349,4130,7226,3085
"Sabe leer y escribir (025)",24026,,3087,4957,2976,4120,3517,4502,867
"No sabe leer y escribir (026)",8893,1781,1218,52,58,229,613,2724,2218
"Hombres (028)",16778,893,2226,2687,1677,2149,2046,3619,1481
"Sabe leer y escribir (029)",13552,,1595,2658,1648,2081,1911,2942,717
"No sabe leer y escribir (030)",3226,893,631,29,29,68,135,677,764
"Mujeres (032)",16141,888,2079,2322,1357,2200,2084,3607,1604
"Sabe leer y escribir (033)",10474,,1492,2299,1328,2039,1606,1560,150
"No sabe leer y escribir (034)",5667,888,587,23,29,161,478,2047,1454
