"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUAURA (000)",194738,168150,26588
"Casa independiente (001)",179767,154831,24936
"Departamento en edificio (002)",3742,3742,
"Vivienda en quinta (003)",3876,3876,
"Vivienda en casa de vecindad (004)",2869,2869,
"Choza o cabaña (005)",1611,,1611
"Vivienda improvisada (006)",2605,2605,
"Local no dest.para hab. humana (007)",262,221,41
"Otro tipo (008)",6,6,
