"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PIURA (000)",256176,242219,80180,34625,34404,27612,31367,15979,9304,8748,13957,606347
"De 12 a 14 años (001)",21753,21638,21560,62,16,,,,,,115,94
"De 15 a 19 años (002)",34773,34101,30573,3047,404,61,16,,,,672,4102
"De 20 a 24 años (003)",31643,27365,13134,9028,3998,967,213,25,,,4278,20976
"De 25 a 29 años (004)",28681,25055,5071,7793,7018,3430,1582,135,26,,3626,39892
"De 30 a 34 años (005)",25362,23706,2555,4862,6790,4887,3853,640,105,14,1656,54692
"De 35 a 39 años (006)",23250,22173,1697,2949,5284,5024,5238,1587,311,83,1077,64976
"De 40 a 44 años (007)",20650,19907,1312,2048,3867,4225,5203,2171,758,323,743,69025
"De 45 a 49 años (008)",17954,17397,1093,1596,2740,3275,4505,2430,1164,594,557,68654
"De 50 y más años (009)",52110,50877,3185,3240,4287,5743,10757,8991,6940,7734,1233,283936
"Conviviente (010)",50326,48910,3907,13557,11761,7455,7283,2746,1269,932,1416,130149
"De 12 a 14 años (011)",193,99,61,32,6,,,,,,94,44
"De 15 a 19 años (012)",3935,3437,1096,2019,288,29,5,,,,498,2702
"De 20 a 24 años (013)",9747,9305,1164,4927,2461,600,134,19,,,442,12327
"De 25 a 29 años (014)",10295,10102,622,3330,3505,1755,808,70,12,,193,19571
"De 30 a 34 años (015)",8134,8070,295,1549,2512,1889,1552,227,42,4,64,20727
"De 35 a 39 años (016)",5985,5947,178,698,1436,1443,1642,444,80,26,38,18813
"De 40 a 44 años (017)",4226,4198,154,406,791,792,1255,554,180,66,28,15656
"De 45 a 49 años (018)",2829,2806,104,247,366,455,799,490,230,115,23,12246
"De 50 y más años (019)",4982,4946,233,349,396,492,1088,942,725,721,36,28063
"Separado(a) (020)",12297,12108,224,3863,2630,1790,1940,917,449,295,189,36084
