"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CONDORCANQUI (000)",8650,42662,1226,6124,7424,36538
"Casa independiente (001)",1991,9759,1142,5831,849,3928
"Departamento en edificio (002)",7,15,7,15,,
"Vivienda en quinta (003)",14,33,14,33,,
"Vivienda en casa de vecindad (004)",47,166,47,166,,
"Choza o cabaña (005)",6571,32596,,,6571,32596
"Vivienda improvisada (006)",15,72,15,72,,
"Local no dest.para hab. humana (007)",3,13,1,7,2,6
"Otro tipo (008)",2,8,,,2,8
