"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia MANU (000)",10366,22,330,416,173,1867,938,1449,1020,3297,24,528,302
"Agric., ganadería, caza y silvicultura (001)",1486,1,1,6,,3,931,,6,538,,,
"Pesca (002)",12,,,,,,7,,,5,,,
"Explotación de minas y canteras (003)",2789,1,3,65,12,118,,902,62,1626,,,
"Industrias manufactureras (004)",346,,1,11,1,2,,282,43,6,,,
"Suministro de electricidad, gas y agua (005)",23,,,2,1,,,,,20,,,
"Construcción (006)",246,,5,12,2,,,13,140,74,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",1569,1,4,82,6,999,,244,9,224,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",308,,2,9,,57,,227,9,4,,,
"Comercio al por mayor (009)",34,1,1,6,2,24,,,,,,,
"Comercio al por menor (010)",1227,,1,67,4,918,,17,,220,,,
"Hoteles y restaurantes (011)",1009,,1,54,13,687,,2,3,249,,,
"Trans., almac. y comunicaciones (012)",844,,1,16,20,9,,,734,64,,,
"Intermediación financiera (013)",13,,,4,8,1,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",123,,16,29,12,18,,1,13,34,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",132,11,8,15,45,3,,1,9,16,24,,
"Enseñanza (016)",249,6,238,,4,,,,,1,,,
"Servicios sociales y de salud (017)",95,,36,45,4,2,,,1,7,,,
"Otras activ. serv.comun.soc y personales (018)",248,2,8,48,5,25,,4,,156,,,
"Hogares privados con servicio doméstico (019)",276,,,,,,,,,276,,,
"Actividad economica no especificada (021)",604,,8,27,40,,,,,1,,528,
"Desocupado (022)",302,,,,,,,,,,,,302
"Hombres (023)",7474,16,179,269,104,543,834,1349,1000,2533,24,370,253
"Agric., ganadería, caza y silvicultura (024)",1294,1,1,6,,,827,,6,453,,,
"Pesca (025)",12,,,,,,7,,,5,,,
"Explotación de minas y canteras (026)",2551,1,3,51,12,6,,840,62,1576,,,
"Industrias manufactureras (027)",298,,,7,,,,251,36,4,,,
"Suministro de electricidad, gas y agua (028)",23,,,2,1,,,,,20,,,
"Construcción (029)",239,,5,11,2,,,13,136,72,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",809,1,4,46,3,418,,239,8,90,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",282,,2,8,,40,,222,8,2,,,
"Comercio al por mayor (032)",22,1,1,4,1,15,,,,,,,
"Comercio al por menor (033)",505,,1,34,2,363,,17,,88,,,
"Hoteles y restaurantes (034)",171,,1,22,1,86,,1,3,57,,,
"Trans., almac. y comunicaciones (035)",807,,1,13,11,9,,,726,47,,,
"Intermediación financiera (036)",10,,,4,6,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",106,,14,25,8,18,,1,13,27,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",109,8,7,11,33,3,,1,9,13,24,,
"Enseñanza (039)",116,4,111,,,,,,,1,,,
"Servicios sociales y de salud (040)",49,,21,24,1,,,,1,2,,,
"Otras activ. serv.comun.soc y personales (041)",151,1,5,29,5,3,,3,,105,,,
"Hogares privados con servicio doméstico (042)",60,,,,,,,,,60,,,
"Actividad economica no especificada (044)",416,,6,18,21,,,,,1,,370,
"Desocupado (045)",253,,,,,,,,,,,,253
"Mujeres (046)",2892,6,151,147,69,1324,104,100,20,764,,158,49
"Agric., ganadería, caza y silvicultura (047)",192,,,,,3,104,,,85,,,
"Explotación de minas y canteras (049)",238,,,14,,112,,62,,50,,,
"Industrias manufactureras (050)",48,,1,4,1,2,,31,7,2,,,
"Construcción (052)",7,,,1,,,,,4,2,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",760,,,36,3,581,,5,1,134,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",26,,,1,,17,,5,1,2,,,
"Comercio al por mayor (055)",12,,,2,1,9,,,,,,,
"Comercio al por menor (056)",722,,,33,2,555,,,,132,,,
"Hoteles y restaurantes (057)",838,,,32,12,601,,1,,192,,,
"Trans., almac. y comunicaciones (058)",37,,,3,9,,,,8,17,,,
"Intermediación financiera (059)",3,,,,2,1,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",17,,2,4,4,,,,,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",23,3,1,4,12,,,,,3,,,
"Enseñanza (062)",133,2,127,,4,,,,,,,,
"Servicios sociales y de salud (063)",46,,15,21,3,2,,,,5,,,
"Otras activ. serv.comun.soc y personales (064)",97,1,3,19,,22,,1,,51,,,
"Hogares privados con servicio doméstico (065)",216,,,,,,,,,216,,,
"Actividad economica no especificada (067)",188,,2,9,19,,,,,,,158,
"Desocupado (068)",49,,,,,,,,,,,,49
,,,,,,,,,,,,,
"URBANA (069)",3223,14,177,176,99,777,160,407,414,678,19,239,63
"Agric., ganadería, caza y silvicultura (070)",260,,,3,,1,157,,,99,,,
"Pesca (071)",5,,,,,,3,,,2,,,
"Explotación de minas y canteras (072)",255,,,15,4,18,,89,25,104,,,
"Industrias manufactureras (073)",179,,1,7,1,2,,134,29,5,,,
"Suministro de electricidad, gas y agua (074)",13,,,2,1,,,,,10,,,
"Construcción (075)",125,,3,9,1,,,6,84,22,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",818,,2,27,5,503,,171,8,102,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",195,,2,2,,27,,155,8,1,,,
"Comercio al por mayor (078)",13,,,1,2,10,,,,,,,
"Comercio al por menor (079)",610,,,24,3,466,,16,,101,,,
"Hoteles y restaurantes (080)",353,,,16,3,223,,2,2,107,,,
"Trans., almac. y comunicaciones (081)",306,,,11,11,4,,,251,29,,,
"Intermediación financiera (082)",3,,,1,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",63,,10,21,7,8,,1,6,10,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",95,9,6,7,34,,,,8,12,19,,
"Enseñanza (085)",131,4,122,,4,,,,,1,,,
"Servicios sociales y de salud (086)",50,,24,19,3,2,,,1,1,,,
"Otras activ. serv.comun.soc y personales (087)",122,1,5,28,2,16,,4,,66,,,
"Hogares privados con servicio doméstico (088)",107,,,,,,,,,107,,,
"Actividad economica no especificada (090)",275,,4,10,21,,,,,1,,239,
"Desocupado (091)",63,,,,,,,,,,,,63
"Hombres (092)",1999,8,87,111,54,260,138,371,406,358,19,139,48
"Agric., ganadería, caza y silvicultura (093)",217,,,3,,,135,,,79,,,
"Pesca (094)",5,,,,,,3,,,2,,,
"Explotación de minas y canteras (095)",212,,,11,4,,,76,25,96,,,
"Industrias manufactureras (096)",152,,,5,,,,117,27,3,,,
"Suministro de electricidad, gas y agua (097)",13,,,2,1,,,,,10,,,
"Construcción (098)",122,,3,8,1,,,6,82,22,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",446,,2,19,2,215,,167,7,34,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",182,,2,2,,20,,151,7,,,,
"Comercio al por mayor (101)",8,,,1,1,6,,,,,,,
"Comercio al por menor (102)",256,,,16,1,189,,16,,34,,,
"Hoteles y restaurantes (103)",58,,,4,,31,,1,2,20,,,
"Trans., almac. y comunicaciones (104)",285,,,8,6,4,,,248,19,,,
"Intermediación financiera (105)",2,,,1,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",52,,9,18,4,8,,1,6,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",78,6,5,6,24,,,,8,10,19,,
"Enseñanza (108)",55,2,52,,,,,,,1,,,
"Servicios sociales y de salud (109)",25,,12,11,1,,,,1,,,,
"Otras activ. serv.comun.soc y personales (110)",57,,2,11,2,2,,3,,37,,,
"Hogares privados con servicio doméstico (111)",18,,,,,,,,,18,,,
"Actividad economica no especificada (113)",154,,2,4,8,,,,,1,,139,
"Desocupado (114)",48,,,,,,,,,,,,48
"Mujeres (115)",1224,6,90,65,45,517,22,36,8,320,,100,15
"Agric., ganadería, caza y silvicultura (116)",43,,,,,1,22,,,20,,,
"Explotación de minas y canteras (118)",43,,,4,,18,,13,,8,,,
"Industrias manufactureras (119)",27,,1,2,1,2,,17,2,2,,,
"Construcción (121)",3,,,1,,,,,2,,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",372,,,8,3,288,,4,1,68,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",13,,,,,7,,4,1,1,,,
"Comercio al por mayor (124)",5,,,,1,4,,,,,,,
"Comercio al por menor (125)",354,,,8,2,277,,,,67,,,
"Hoteles y restaurantes (126)",295,,,12,3,192,,1,,87,,,
"Trans., almac. y comunicaciones (127)",21,,,3,5,,,,3,10,,,
"Intermediación financiera (128)",1,,,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",11,,1,3,3,,,,,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",17,3,1,1,10,,,,,2,,,
"Enseñanza (131)",76,2,70,,4,,,,,,,,
"Servicios sociales y de salud (132)",25,,12,8,2,2,,,,1,,,
"Otras activ. serv.comun.soc y personales (133)",65,1,3,17,,14,,1,,29,,,
"Hogares privados con servicio doméstico (134)",89,,,,,,,,,89,,,
"Actividad economica no especificada (136)",121,,2,6,13,,,,,,,100,
"Desocupado (137)",15,,,,,,,,,,,,15
,,,,,,,,,,,,,
"RURAL (138)",7143,8,153,240,74,1090,778,1042,606,2619,5,289,239
"Agric., ganadería, caza y silvicultura (139)",1226,1,1,3,,2,774,,6,439,,,
"Pesca (140)",7,,,,,,4,,,3,,,
"Explotación de minas y canteras (141)",2534,1,3,50,8,100,,813,37,1522,,,
"Industrias manufactureras (142)",167,,,4,,,,148,14,1,,,
"Suministro de electricidad, gas y agua (143)",10,,,,,,,,,10,,,
"Construcción (144)",121,,2,3,1,,,7,56,52,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",751,1,2,55,1,496,,73,1,122,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",113,,,7,,30,,72,1,3,,,
"Comercio al por mayor (147)",21,1,1,5,,14,,,,,,,
"Comercio al por menor (148)",617,,1,43,1,452,,1,,119,,,
"Hoteles y restaurantes (149)",656,,1,38,10,464,,,1,142,,,
