"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia ICA (000)",129237,436,16871,7376,6106,18406,3765,9637,16497,47241,699,2203
"Agric., ganadería, caza y silvicultura (001)",33081,15,432,307,183,2,3643,21,359,28119,,
"Pesca (002)",154,,12,5,3,,122,1,1,10,,
"Explotación de minas y canteras (003)",973,6,58,72,32,,,621,35,149,,
"Industrias manufactureras (004)",9968,21,319,526,331,59,,6376,1083,1253,,
"Suministro de electricidad, gas y agua (005)",375,1,54,73,81,,,54,28,84,,
"Construcción (006)",7591,10,506,358,71,,,427,4540,1679,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",23792,55,555,1416,434,13515,,1965,235,5617,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2453,10,94,150,29,455,,1491,112,112,,
"Comercio al por mayor (009)",2402,28,123,455,181,1168,,36,79,332,,
"Comercio al por menor (010)",18937,17,338,811,224,11892,,438,44,5173,,
"Hoteles y restaurantes (011)",5392,20,87,259,276,2428,,1,13,2308,,
"Trans., almac. y comunicaciones (012)",12863,14,100,468,519,87,,64,9888,1723,,
"Intermediación financiera (013)",1027,14,159,251,551,2,,,3,47,,
"Activid.inmobil., empres. y alquileres (014)",7606,21,2308,1343,1156,1531,,53,108,1086,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",4224,67,841,351,1325,81,,15,144,701,699,
"Enseñanza (016)",9869,178,8887,98,507,,,3,3,193,,
"Servicios sociales y de salud (017)",3916,2,2259,1059,299,83,,19,25,170,,
"Otras activ. serv.comun.soc y personales (018)",3118,12,284,699,275,584,,16,31,1217,,
"Hogares privados con servicio doméstico (019)",2889,,,15,,3,,,,2871,,
"Organiz. y organos extraterritoriales (020)",7,,2,,4,,,,,1,,
"Actividad economica no especificada (021)",2392,,8,76,59,31,,1,1,13,,2203
"Hombres (022)",80315,278,8417,4651,2939,8484,3185,7266,16038,27201,646,1210
"Agric., ganadería, caza y silvicultura (023)",21515,13,364,237,120,,3064,21,352,17344,,
"Pesca (024)",149,,10,4,2,,121,1,1,10,,
"Explotación de minas y canteras (025)",913,6,51,64,26,,,594,35,137,,
"Industrias manufactureras (026)",6360,17,216,341,210,31,,4088,841,616,,
"Suministro de electricidad, gas y agua (027)",317,1,44,67,45,,,53,28,79,,
"Construcción (028)",7360,7,442,331,36,,,423,4486,1635,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",12236,32,296,869,210,5850,,1926,223,2830,,
"Venta, mant.y rep. veh.autom.y motoc. (030)",2202,6,79,119,12,309,,1471,105,101,,
"Comercio al por mayor (031)",1526,18,71,273,113,660,,29,77,285,,
"Comercio al por menor (032)",8508,8,146,477,85,4881,,426,41,2444,,
"Hoteles y restaurantes (033)",1805,14,55,143,140,794,,1,13,645,,
"Trans., almac. y comunicaciones (034)",12074,13,70,325,329,47,,63,9773,1454,,
"Intermediación financiera (035)",570,12,106,125,284,2,,,3,38,,
"Activid.inmobil., empres. y alquileres (036)",5557,18,1665,964,411,1508,,51,101,839,,
"Admin.pub. y defensa; p. segur.soc.afil (037)",2862,47,568,229,704,77,,14,125,452,646,
"Enseñanza (038)",3822,90,3355,53,176,,,2,3,143,,
"Servicios sociales y de salud (039)",1482,1,953,306,109,10,,15,25,63,,
"Otras activ. serv.comun.soc y personales (040)",1782,7,215,546,112,158,,14,28,702,,
"Hogares privados con servicio doméstico (041)",204,,,,,,,,,204,,
"Organiz. y organos extraterritoriales (042)",3,,1,,2,,,,,,,
"Actividad economica no especificada (043)",1304,,6,47,23,7,,,1,10,,1210
"Mujeres (044)",48922,158,8454,2725,3167,9922,580,2371,459,20040,53,993
