"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PAUCARTAMBO (000)",15491,14021,632,209,629
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",27,3,1,,23
"Profes., científicos e intelectuales (002)",387,93,40,63,191
"Técnicos de nivel medio y trab. asimilados (003)",108,52,7,4,45
"Jefes y empleados de oficina (004)",101,22,7,8,64
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",670,630,26,8,6
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7784,7555,227,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",651,602,38,4,7
"Obreros construc.,conf.,papel, fab., instr. (008)",527,376,73,50,28
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4982,4503,195,63,221
"Otra (010)",43,,,,43
"Ocupación no especificada (011)",211,185,18,8,
"Hombres (012)",10432,9294,507,167,464
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",24,3,1,,20
"Profes., científicos e intelectuales (014)",182,40,22,32,88
"Técnicos de nivel medio y trab. asimilados (015)",66,31,7,3,25
"Jefes y empleados de oficina (016)",70,12,6,6,46
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",221,203,7,8,3
"Agricult.trabaj.calif.agrop.y pesqueros (018)",6904,6698,204,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",242,201,30,4,7
"Obreros construc.,conf.,papel, fab., instr. (020)",509,361,70,50,28
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2090,1682,148,57,203
"Otra (022)",43,,,,43
"Ocupación no especificada (023)",81,63,12,6,
"Mujeres (024)",5059,4727,125,42,165
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,,,,3
"Profes., científicos e intelectuales (026)",205,53,18,31,103
"Técnicos de nivel medio y trab. asimilados (027)",42,21,,1,20
"Jefes y empleados de oficina (028)",31,10,1,2,18
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",449,427,19,,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",880,857,23,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",409,401,8,,
"Obreros construc.,conf.,papel, fab., instr. (032)",18,15,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",2892,2821,47,6,18
