"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SATIPO (000)",190821,51152,139669
"Casa independiente (001)",108612,44314,64298
"Departamento en edificio (002)",535,535,
"Vivienda en quinta (003)",3270,3270,
"Vivienda en casa de vecindad (004)",2410,2410,
"Choza o cabaña (005)",74448,,74448
"Vivienda improvisada (006)",537,537,
"Local no dest.para hab. humana (007)",236,49,187
"Otro tipo (008)",773,37,736
