"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LAMBAYEQUE (000)",78453,56696,7314,6064,8379
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",137,3,30,32,72
"Profes., científicos e intelectuales (002)",4675,1301,731,1287,1356
"Técnicos de nivel medio y trab. asimilados (003)",2656,1240,383,319,714
"Jefes y empleados de oficina (004)",2019,454,241,334,990
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",7961,7102,412,231,216
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10128,9419,617,62,30
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",6254,4337,729,456,732
"Obreros construc.,conf.,papel, fab., instr. (008)",7115,5647,647,461,360
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",34984,25710,3314,2742,3218
"Otra (010)",526,,,,526
"Ocupación no especificada (011)",1998,1483,210,140,165
"Hombres (012)",59673,43589,5940,4472,5672
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",97,,20,24,53
"Profes., científicos e intelectuales (014)",2209,605,349,588,667
"Técnicos de nivel medio y trab. asimilados (015)",1676,846,256,212,362
"Jefes y empleados de oficina (016)",930,147,109,166,508
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",3382,2834,211,158,179
"Agricult.trabaj.calif.agrop.y pesqueros (018)",9558,8890,583,56,29
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",4793,3315,628,389,461
"Obreros construc.,conf.,papel, fab., instr. (020)",6981,5547,636,450,348
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",28477,20711,2988,2335,2443
"Otra (022)",508,,,,508
"Ocupación no especificada (023)",1062,694,160,94,114
"Mujeres (024)",18780,13107,1374,1592,2707
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",40,3,10,8,19
"Profes., científicos e intelectuales (026)",2466,696,382,699,689
"Técnicos de nivel medio y trab. asimilados (027)",980,394,127,107,352
"Jefes y empleados de oficina (028)",1089,307,132,168,482
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",4579,4268,201,73,37
"Agricult.trabaj.calif.agrop.y pesqueros (030)",570,529,34,6,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",1461,1022,101,67,271
"Obreros construc.,conf.,papel, fab., instr. (032)",134,100,11,11,12
