"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BOLIVAR (000)",15368,1053,2278,2448,1617,2055,1925,3027,965
"Sabe leer y escribir (001)",12195,,1460,2387,1559,1903,1764,2527,595
"No sabe leer y escribir (002)",3173,1053,818,61,58,152,161,500,370
"Hombres (004)",7959,558,1162,1279,872,1045,969,1593,481
"Sabe leer y escribir (005)",6565,,747,1242,841,985,926,1454,370
"No sabe leer y escribir (006)",1394,558,415,37,31,60,43,139,111
"Mujeres (008)",7409,495,1116,1169,745,1010,956,1434,484
"Sabe leer y escribir (009)",5630,,713,1145,718,918,838,1073,225
"No sabe leer y escribir (010)",1779,495,403,24,27,92,118,361,259
,,,,,,,,,
"URBANA (012)",5411,297,690,830,616,655,714,1243,366
"Sabe leer y escribir (013)",4662,,510,825,608,631,682,1137,269
"No sabe leer y escribir (014)",749,297,180,5,8,24,32,106,97
"Hombres (016)",2728,159,351,401,327,317,354,646,173
"Sabe leer y escribir (017)",2410,,260,398,325,308,348,625,146
"No sabe leer y escribir (018)",318,159,91,3,2,9,6,21,27
"Mujeres (020)",2683,138,339,429,289,338,360,597,193
"Sabe leer y escribir (021)",2252,,250,427,283,323,334,512,123
"No sabe leer y escribir (022)",431,138,89,2,6,15,26,85,70
,,,,,,,,,
"RURAL (024)",9957,756,1588,1618,1001,1400,1211,1784,599
"Sabe leer y escribir (025)",7533,,950,1562,951,1272,1082,1390,326
"No sabe leer y escribir (026)",2424,756,638,56,50,128,129,394,273
"Hombres (028)",5231,399,811,878,545,728,615,947,308
"Sabe leer y escribir (029)",4155,,487,844,516,677,578,829,224
"No sabe leer y escribir (030)",1076,399,324,34,29,51,37,118,84
"Mujeres (032)",4726,357,777,740,456,672,596,837,291
"Sabe leer y escribir (033)",3378,,463,718,435,595,504,561,102
"No sabe leer y escribir (034)",1348,357,314,22,21,77,92,276,189
