"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Otras activ. serv.comun.soc y personales (107)",19,1,3,8,2,5
"Hogares privados con servicio doméstico (108)",3,,1,2,,
"Actividad economica no especificada (110)",42,,15,13,10,4
"Mujeres (112)",1181,11,330,488,278,74
"Agric., ganadería, caza y silvicultura (113)",283,6,52,90,88,47
"Explotación de minas y canteras (115)",26,,8,12,6,
"Industrias manufactureras (116)",30,,16,8,6,
"Construcción (118)",2,,2,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (119)",236,,66,85,69,16
"Venta, mant.y rep. veh.autom.y motoc. (120)",1,,,1,,
"Comercio al por mayor (121)",6,,2,3,1,
"Comercio al por menor (122)",229,,64,81,68,16
"Hoteles y restaurantes (123)",146,3,47,47,44,5
"Trans., almac. y comunicaciones (124)",5,,2,3,,
"Intermediación financiera (125)",3,,2,1,,
"Activid.inmobil., empres. y alquileres (126)",20,,9,10,1,
"Admin.pub. y defensa; p. segur.soc.afil (127)",61,,30,26,5,
"Enseñanza (128)",223,,47,153,23,
"Servicios sociales y de salud (129)",49,,18,18,13,
"Otras activ. serv.comun.soc y personales (130)",27,1,2,13,10,1
"Hogares privados con servicio doméstico (131)",39,1,21,10,3,4
"Actividad economica no especificada (133)",31,,8,12,10,1
,,,,,,
"RURAL (134)",9433,102,2907,3054,2513,857
"Agric., ganadería, caza y silvicultura (135)",8469,96,2567,2671,2323,812
"Pesca (136)",3,1,2,,,
"Explotación de minas y canteras (137)",16,,4,8,4,
"Industrias manufactureras (138)",72,,26,29,12,5
"Suministro de electricidad, gas y agua (139)",21,,11,5,5,
"Construcción (140)",126,,41,47,31,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (141)",181,2,67,61,42,9
"Venta, mant.y rep. veh.autom.y motoc. (142)",2,,2,,,
"Comercio al por mayor (143)",8,,1,2,5,
"Comercio al por menor (144)",171,2,64,59,37,9
"Hoteles y restaurantes (145)",46,1,18,17,7,3
"Trans., almac. y comunicaciones (146)",27,,14,10,3,
"Activid.inmobil., empres. y alquileres (148)",7,,2,1,4,
"Admin.pub. y defensa; p. segur.soc.afil (149)",33,,16,11,6,
"Enseñanza (150)",216,,51,129,36,
"Servicios sociales y de salud (151)",26,,11,14,1,
"Otras activ. serv.comun.soc y personales (152)",6,,4,1,1,
"Hogares privados con servicio doméstico (153)",23,2,11,5,3,2
"Actividad economica no especificada (155)",161,,62,45,35,19
"Hombres (156)",6690,56,2036,2174,1790,634
"Agric., ganadería, caza y silvicultura (157)",6151,55,1855,1953,1669,619
"Pesca (158)",3,1,2,,,
"Explotación de minas y canteras (159)",16,,4,8,4,
"Industrias manufactureras (160)",38,,12,15,9,2
"Suministro de electricidad, gas y agua (161)",21,,11,5,5,
"Construcción (162)",122,,39,47,29,7
"Comerc., rep. veh. autom.,motoc. efect. pers. (163)",80,,29,30,18,3
"Venta, mant.y rep. veh.autom.y motoc. (164)",2,,2,,,
"Comercio al por mayor (165)",8,,1,2,5,
"Comercio al por menor (166)",70,,26,28,13,3
"Hoteles y restaurantes (167)",2,,1,,1,
"Trans., almac. y comunicaciones (168)",26,,14,10,2,
"Activid.inmobil., empres. y alquileres (170)",7,,2,1,4,
"Admin.pub. y defensa; p. segur.soc.afil (171)",27,,11,11,5,
"Enseñanza (172)",136,,31,73,32,
"Servicios sociales y de salud (173)",8,,,8,,
"Otras activ. serv.comun.soc y personales (174)",2,,2,,,
"Hogares privados con servicio doméstico (175)",3,,1,1,1,
"Actividad economica no especificada (177)",48,,22,12,11,3
"Mujeres (179)",2743,46,871,880,723,223
"Agric., ganadería, caza y silvicultura (180)",2318,41,712,718,654,193
"Industrias manufactureras (183)",34,,14,14,3,3
"Construcción (185)",4,,2,,2,
"Comerc., rep. veh. autom.,motoc. efect. pers. (186)",101,2,38,31,24,6
"Comercio al por menor (189)",101,2,38,31,24,6
"Hoteles y restaurantes (190)",44,1,17,17,6,3
"Trans., almac. y comunicaciones (191)",1,,,,1,
"Admin.pub. y defensa; p. segur.soc.afil (194)",6,,5,,1,
"Enseñanza (195)",80,,20,56,4,
"Servicios sociales y de salud (196)",18,,11,6,1,
"Otras activ. serv.comun.soc y personales (197)",4,,2,1,1,
"Hogares privados con servicio doméstico (198)",20,2,10,4,2,2
"Actividad economica no especificada (200)",113,,40,33,24,16
