"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia YAULI (000)",13427,48147,11405,42472,2022,5675
"Casa independiente (001)",9949,36603,8555,32706,1394,3897
"Departamento en edificio (002)",1485,4867,1485,4867,,
"Vivienda en quinta (003)",666,2327,666,2327,,
"Vivienda en casa de vecindad (004)",645,2454,645,2454,,
"Choza o cabaña (005)",601,1741,,,601,1741
"Vivienda improvisada (006)",12,24,12,24,,
"Local no dest.para hab. humana (007)",27,69,23,56,4,13
"Otro tipo (008)",42,62,19,38,23,24
