"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia LIMA (000)",3009712,2633470,376242
"De 3 a 5 años (001)",381410,51639,329771
"De 6 a 11 años (002)",748920,710743,38177
"De 12 a 16 años (003)",666742,663564,3178
"De 17 a 24 años (004)",1212640,1207524,5116
"Hombres (005)",1505077,1311859,193218
"De 3 a 5 años (006)",195268,26327,168941
"De 6 a 11 años (007)",382261,361934,20327
"De 12 a 16 años (008)",331885,330287,1598
"De 17 a 24 años (009)",595663,593311,2352
"Mujeres (010)",1504635,1321611,183024
"De 3 a 5 años (011)",186142,25312,160830
"De 6 a 11 años (012)",366659,348809,17850
"De 12 a 16 años (013)",334857,333277,1580
"De 17 a 24 años (014)",616977,614213,2764
,,,
"URBANA (015)",3005446,2629878,375568
"De 3 a 5 años (016)",380789,51570,329219
"De 6 a 11 años (017)",747793,709708,38085
"De 12 a 16 años (018)",665741,662565,3176
"De 17 a 24 años (019)",1211123,1206035,5088
"Hombres (020)",1502878,1310012,192866
"De 3 a 5 años (021)",194943,26286,168657
"De 6 a 11 años (022)",381700,361423,20277
"De 12 a 16 años (023)",331381,329784,1597
"De 17 a 24 años (024)",594854,592519,2335
"Mujeres (025)",1502568,1319866,182702
"De 3 a 5 años (026)",185846,25284,160562
"De 6 a 11 años (027)",366093,348285,17808
"De 12 a 16 años (028)",334360,332781,1579
"De 17 a 24 años (029)",616269,613516,2753
,,,
"RURAL (030)",4266,3592,674
"De 3 a 5 años (031)",621,69,552
"De 6 a 11 años (032)",1127,1035,92
"De 12 a 16 años (033)",1001,999,2
"De 17 a 24 años (034)",1517,1489,28
"Hombres (035)",2199,1847,352
"De 3 a 5 años (036)",325,41,284
"De 6 a 11 años (037)",561,511,50
"De 12 a 16 años (038)",504,503,1
"De 17 a 24 años (039)",809,792,17
"Mujeres (040)",2067,1745,322
"De 3 a 5 años (041)",296,28,268
"De 6 a 11 años (042)",566,524,42
"De 12 a 16 años (043)",497,496,1
"De 17 a 24 años (044)",708,697,11
