"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SANCHEZ CARRION (000)",36260,8313,27947
"Casa independiente (001)",34752,8137,26615
"Departamento en edificio (002)",12,12,
"Vivienda en quinta (003)",48,48,
"Vivienda en casa de vecindad (004)",97,97,
"Choza o cabaña (005)",1328,,1328
"Vivienda improvisada (006)",15,15,
"Local no dest.para hab. humana (007)",8,4,4
