"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia HUAURA (000)",197384,196173,739,472
"Hombres (001)",99472,98944,291,237
"Mujeres (002)",97912,97229,448,235
"Menores de 1 año (003)",3182,2879,191,112
"Hombres (004)",1601,1448,94,59
"Mujeres (005)",1581,1431,97,53
"De 1 a 5 años (006)",17210,16587,295,328
"Hombres (007)",8761,8459,136,166
"Mujeres (008)",8449,8128,159,162
"De 6 a 14 años (009)",33886,33858,20,8
"Hombres (010)",17315,17298,12,5
"Mujeres (011)",16571,16560,8,3
"De 15 a 29 años (012)",54158,54139,15,4
"Hombres (013)",27463,27455,7,1
"Mujeres (014)",26695,26684,8,3
"De 30 a 44 años (015)",40618,40601,13,4
"Hombres (016)",20045,20041,2,2
"Mujeres (017)",20573,20560,11,2
"De 45 a 64 años (018)",32344,32294,47,3
"Hombres (019)",16176,16164,11,1
"Mujeres (020)",16168,16130,36,2
"De 65 a más años (021)",15986,15815,158,13
"Hombres (022)",8111,8079,29,3
"Mujeres (023)",7875,7736,129,10
,,,,
"URBANA (024)",170562,169581,583,398
"Hombres (025)",85159,84712,237,210
"Mujeres (026)",85403,84869,346,188
"Menores de 1 año (027)",2702,2439,166,97
"Hombres (028)",1376,1237,85,54
"Mujeres (029)",1326,1202,81,43
"De 1 a 5 años (030)",14560,14034,247,279
"Hombres (031)",7406,7144,115,147
"Mujeres (032)",7154,6890,132,132
"De 6 a 14 años (033)",28980,28962,12,6
"Hombres (034)",14770,14760,6,4
"Mujeres (035)",14210,14202,6,2
"De 15 a 29 años (036)",46756,46746,8,2
"Hombres (037)",23504,23500,3,1
"Mujeres (038)",23252,23246,5,1
"De 30 a 44 años (039)",35558,35550,6,2
"Hombres (040)",17307,17305,1,1
"Mujeres (041)",18251,18245,5,1
"De 45 a 64 años (042)",28129,28098,28,3
"Hombres (043)",13854,13847,6,1
"Mujeres (044)",14275,14251,22,2
"De 65 a más años (045)",13877,13752,116,9
"Hombres (046)",6942,6919,21,2
"Mujeres (047)",6935,6833,95,7
,,,,
"RURAL (048)",26822,26592,156,74
"Hombres (049)",14313,14232,54,27
"Mujeres (050)",12509,12360,102,47
"Menores de 1 año (051)",480,440,25,15
"Hombres (052)",225,211,9,5
"Mujeres (053)",255,229,16,10
"De 1 a 5 años (054)",2650,2553,48,49
"Hombres (055)",1355,1315,21,19
"Mujeres (056)",1295,1238,27,30
"De 6 a 14 años (057)",4906,4896,8,2
"Hombres (058)",2545,2538,6,1
"Mujeres (059)",2361,2358,2,1
"De 15 a 29 años (060)",7402,7393,7,2
"Hombres (061)",3959,3955,4,
"Mujeres (062)",3443,3438,3,2
"De 30 a 44 años (063)",5060,5051,7,2
"Hombres (064)",2738,2736,1,1
"Mujeres (065)",2322,2315,6,1
"De 45 a 64 años (066)",4215,4196,19,
"Hombres (067)",2322,2317,5,
"Mujeres (068)",1893,1879,14,
"De 65 a más años (069)",2109,2063,42,4
"Hombres (070)",1169,1160,8,1
"Mujeres (071)",940,903,34,3
