"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAYLLOMA (000)",32911,24326,4252,2121,2212
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",80,1,5,6,68
"Profes., científicos e intelectuales (002)",1123,351,284,310,178
"Técnicos de nivel medio y trab. asimilados (003)",885,564,102,81,138
"Jefes y empleados de oficina (004)",568,181,84,79,224
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3454,3106,225,80,43
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7333,6571,721,36,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",2122,1186,167,132,637
"Obreros construc.,conf.,papel, fab., instr. (008)",2480,1781,333,238,128
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",14058,10063,2244,1110,641
"Otra (010)",115,,,,115
"Ocupación no especificada (011)",693,522,87,49,35
"Hombres (012)",20176,14657,2680,1358,1481
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",58,1,2,3,52
"Profes., científicos e intelectuales (014)",576,192,130,155,99
"Técnicos de nivel medio y trab. asimilados (015)",570,362,74,60,74
"Jefes y empleados de oficina (016)",307,80,36,44,147
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1098,917,104,47,30
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5532,4965,533,29,5
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1651,921,139,114,477
"Obreros construc.,conf.,papel, fab., instr. (020)",2338,1680,322,218,118
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",7611,5300,1297,662,352
"Otra (022)",110,,,,110
"Ocupación no especificada (023)",325,239,43,26,17
"Mujeres (024)",12735,9669,1572,763,731
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",22,,3,3,16
"Profes., científicos e intelectuales (026)",547,159,154,155,79
"Técnicos de nivel medio y trab. asimilados (027)",315,202,28,21,64
"Jefes y empleados de oficina (028)",261,101,48,35,77
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2356,2189,121,33,13
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1801,1606,188,7,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",471,265,28,18,160
"Obreros construc.,conf.,papel, fab., instr. (032)",142,101,11,20,10
