"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia BOLOGNESI (000)",7480,28835,4718,18577,2762,10258
"Casa independiente (001)",6748,26121,4633,18207,2115,7914
"Departamento en edificio (002)",3,20,3,20,,
"Vivienda en quinta (003)",25,109,25,109,,
"Vivienda en casa de vecindad (004)",45,202,45,202,,
"Choza o cabaña (005)",641,2327,,,641,2327
"Local no dest.para hab. humana (007)",15,43,12,39,3,4
"Otro tipo (008)",3,13,,,3,13
