"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia URUBAMBA (000)",53426,24553,28873
"Casa independiente (001)",51901,23084,28817
"Departamento en edificio (002)",251,251,
"Vivienda en quinta (003)",236,236,
"Vivienda en casa de vecindad (004)",910,910,
"Choza o cabaña (005)",43,,43
"Vivienda improvisada (006)",23,23,
"Local no dest.para hab. humana (007)",20,19,1
"Otro tipo (008)",42,30,12
