"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",11091,44,919,328,244,427,2959,405,669,3575,59,469,993
"Agric., ganadería, caza y silvicultura (001)",5566,,10,23,,,2893,,2,2638,,,
"Pesca (002)",100,,,,,,66,,,34,,,
"Explotación de minas y canteras (003)",542,,27,88,21,,,230,120,56,,,
"Industrias manufactureras (004)",151,,2,5,1,2,,133,6,2,,,
"Suministro de electricidad, gas y agua (005)",32,,1,3,,,,1,1,26,,,
"Construcción (006)",736,,13,19,4,,,8,298,394,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",434,,6,16,,315,,25,,72,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",41,,2,8,,10,,21,,,,,
"Comercio al por mayor (009)",20,,,,,20,,,,,,,
"Comercio al por menor (010)",373,,4,8,,285,,4,,72,,,
"Hoteles y restaurantes (011)",117,,,9,4,64,,,,40,,,
"Trans., almac. y comunicaciones (012)",196,,,3,11,1,,,163,18,,,
"Intermediación financiera (013)",3,,1,1,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",124,1,34,29,17,31,,,3,9,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",610,27,54,49,139,7,,8,70,197,59,,
"Enseñanza (016)",769,16,711,7,18,,,,,17,,,
"Servicios sociales y de salud (017)",117,,52,52,3,1,,,4,5,,,
"Otras activ. serv.comun.soc y personales (018)",53,,5,20,7,6,,,2,13,,,
"Hogares privados con servicio doméstico (019)",54,,,,,,,,,54,,,
"Actividad economica no especificada (021)",494,,3,4,18,,,,,,,469,
"Desocupado (022)",993,,,,,,,,,,,,993
"Hombres (023)",7780,37,458,253,145,172,2488,351,655,2126,58,304,733
"Agric., ganadería, caza y silvicultura (024)",3850,,9,23,,,2423,,2,1393,,,
"Pesca (025)",99,,,,,,65,,,34,,,
"Explotación de minas y canteras (026)",521,,25,87,19,,,217,119,54,,,
"Industrias manufactureras (027)",104,,,5,1,1,,92,3,2,,,
"Suministro de electricidad, gas y agua (028)",28,,1,3,,,,1,1,22,,,
"Construcción (029)",700,,12,19,3,,,8,293,365,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",187,,4,12,,120,,25,,26,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",36,,1,7,,7,,21,,,,,
"Comercio al por mayor (032)",14,,,,,14,,,,,,,
"Comercio al por menor (033)",137,,3,5,,99,,4,,26,,,
"Hoteles y restaurantes (034)",32,,,2,1,12,,,,17,,,
"Trans., almac. y comunicaciones (035)",177,,,,5,,,,162,10,,,
"Intermediación financiera (036)",2,,1,,1,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",95,,26,20,13,30,,,3,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",493,22,45,36,83,7,,8,67,167,58,,
"Enseñanza (039)",343,15,308,3,7,,,,,10,,,
"Servicios sociales y de salud (040)",54,,22,25,1,1,,,4,1,,,
"Otras activ. serv.comun.soc y personales (041)",31,,3,15,3,1,,,1,8,,,
"Hogares privados con servicio doméstico (042)",14,,,,,,,,,14,,,
"Actividad economica no especificada (044)",317,,2,3,8,,,,,,,304,
"Desocupado (045)",733,,,,,,,,,,,,733
"Mujeres (046)",3311,7,461,75,99,255,471,54,14,1449,1,165,260
"Agric., ganadería, caza y silvicultura (047)",1716,,1,,,,470,,,1245,,,
"Pesca (048)",1,,,,,,1,,,,,,
"Explotación de minas y canteras (049)",21,,2,1,2,,,13,1,2,,,
"Industrias manufactureras (050)",47,,2,,,1,,41,3,,,,
"Suministro de electricidad, gas y agua (051)",4,,,,,,,,,4,,,
"Construcción (052)",36,,1,,1,,,,5,29,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",247,,2,4,,195,,,,46,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",5,,1,1,,3,,,,,,,
"Comercio al por mayor (055)",6,,,,,6,,,,,,,
"Comercio al por menor (056)",236,,1,3,,186,,,,46,,,
"Hoteles y restaurantes (057)",85,,,7,3,52,,,,23,,,
"Trans., almac. y comunicaciones (058)",19,,,3,6,1,,,1,8,,,
"Intermediación financiera (059)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",29,1,8,9,4,1,,,,6,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",117,5,9,13,56,,,,3,30,1,,
"Enseñanza (062)",426,1,403,4,11,,,,,7,,,
"Servicios sociales y de salud (063)",63,,30,27,2,,,,,4,,,
"Otras activ. serv.comun.soc y personales (064)",22,,2,5,4,5,,,1,5,,,
"Hogares privados con servicio doméstico (065)",40,,,,,,,,,40,,,
"Actividad economica no especificada (067)",177,,1,1,10,,,,,,,165,
"Desocupado (068)",260,,,,,,,,,,,,260
,,,,,,,,,,,,,
"URBANA (069)",4934,31,638,166,159,269,1105,113,277,1585,45,219,327
"Agric., ganadería, caza y silvicultura (070)",2226,,5,14,,,1095,,2,1110,,,
"Pesca (071)",12,,,,,,10,,,2,,,
"Explotación de minas y canteras (072)",12,,1,,1,,,4,3,3,,,
"Industrias manufactureras (073)",101,,2,5,1,2,,84,6,1,,,
"Suministro de electricidad, gas y agua (074)",27,,1,3,,,,1,1,21,,,
"Construcción (075)",383,,11,12,4,,,6,136,214,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",291,,5,11,,206,,16,,53,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",29,,2,5,,8,,14,,,,,
"Comercio al por mayor (078)",9,,,,,9,,,,,,,
"Comercio al por menor (079)",253,,3,6,,189,,2,,53,,,
"Hoteles y restaurantes (080)",72,,,7,2,44,,,,19,,,
"Trans., almac. y comunicaciones (081)",110,,,2,7,,,,87,14,,,
"Intermediación financiera (082)",2,,1,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",58,,23,12,10,7,,,1,5,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",378,22,47,40,103,5,,2,36,78,45,,
"Enseñanza (085)",530,9,492,5,12,,,,,12,,,
"Servicios sociales y de salud (086)",89,,45,34,2,,,,4,4,,,
"Otras activ. serv.comun.soc y personales (087)",37,,2,17,4,5,,,1,8,,,
"Hogares privados con servicio doméstico (088)",41,,,,,,,,,41,,,
"Actividad economica no especificada (090)",238,,3,3,13,,,,,,,219,
"Desocupado (091)",327,,,,,,,,,,,,327
"Hombres (092)",3217,27,314,115,95,90,911,84,269,914,45,129,224
"Agric., ganadería, caza y silvicultura (093)",1484,,5,14,,,901,,2,562,,,
"Pesca (094)",12,,,,,,10,,,2,,,
"Explotación de minas y canteras (095)",12,,1,,1,,,4,3,3,,,
"Industrias manufactureras (096)",66,,,5,1,1,,55,3,1,,,
"Suministro de electricidad, gas y agua (097)",23,,1,3,,,,1,1,17,,,
"Construcción (098)",366,,10,12,3,,,6,134,201,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",119,,4,9,,70,,16,,20,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",25,,1,4,,6,,14,,,,,
"Comercio al por mayor (101)",5,,,,,5,,,,,,,
"Comercio al por menor (102)",89,,3,5,,59,,2,,20,,,
"Hoteles y restaurantes (103)",15,,,2,,7,,,,6,,,
"Trans., almac. y comunicaciones (104)",99,,,,3,,,,87,9,,,
"Intermediación financiera (105)",1,,1,,,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",40,,17,7,7,6,,,1,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",304,19,38,29,66,5,,2,34,66,45,,
"Enseñanza (108)",238,8,215,2,6,,,,,7,,,
"Servicios sociales y de salud (109)",41,,18,17,1,,,,4,1,,,
"Otras activ. serv.comun.soc y personales (110)",22,,2,13,1,1,,,,5,,,
"Hogares privados con servicio doméstico (111)",12,,,,,,,,,12,,,
"Actividad economica no especificada (113)",139,,2,2,6,,,,,,,129,
"Desocupado (114)",224,,,,,,,,,,,,224
"Mujeres (115)",1717,4,324,51,64,179,194,29,8,671,,90,103
"Agric., ganadería, caza y silvicultura (116)",742,,,,,,194,,,548,,,
"Industrias manufactureras (119)",35,,2,,,1,,29,3,,,,
"Suministro de electricidad, gas y agua (120)",4,,,,,,,,,4,,,
"Construcción (121)",17,,1,,1,,,,2,13,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",172,,1,2,,136,,,,33,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",4,,1,1,,2,,,,,,,
"Comercio al por mayor (124)",4,,,,,4,,,,,,,
"Comercio al por menor (125)",164,,,1,,130,,,,33,,,
"Hoteles y restaurantes (126)",57,,,5,2,37,,,,13,,,
"Trans., almac. y comunicaciones (127)",11,,,2,4,,,,,5,,,
"Intermediación financiera (128)",1,,,1,,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",18,,6,5,3,1,,,,3,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",74,3,9,11,37,,,,2,12,,,
"Enseñanza (131)",292,1,277,3,6,,,,,5,,,
"Servicios sociales y de salud (132)",48,,27,17,1,,,,,3,,,
"Otras activ. serv.comun.soc y personales (133)",15,,,4,3,4,,,1,3,,,
"Hogares privados con servicio doméstico (134)",29,,,,,,,,,29,,,
"Actividad economica no especificada (136)",99,,1,1,7,,,,,,,90,
"Desocupado (137)",103,,,,,,,,,,,,103
,,,,,,,,,,,,,
"RURAL (138)",6157,13,281,162,85,158,1854,292,392,1990,14,250,666
"Agric., ganadería, caza y silvicultura (139)",3340,,5,9,,,1798,,,1528,,,
"Pesca (140)",88,,,,,,56,,,32,,,
"Explotación de minas y canteras (141)",530,,26,88,20,,,226,117,53,,,
"Industrias manufactureras (142)",50,,,,,,,49,,1,,,
"Suministro de electricidad, gas y agua (143)",5,,,,,,,,,5,,,
"Construcción (144)",353,,2,7,,,,2,162,180,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",143,,1,5,,109,,9,,19,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",12,,,3,,2,,7,,,,,
"Comercio al por mayor (147)",11,,,,,11,,,,,,,
"Comercio al por menor (148)",120,,1,2,,96,,2,,19,,,
"Hoteles y restaurantes (149)",45,,,2,2,20,,,,21,,,
