"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia MELGAR (000)",19992,73335,9531,34840,10461,38495
"Casa independiente (001)",15613,57603,8570,31858,7043,25745
"Departamento en edificio (002)",2,7,2,7,,
"Vivienda en quinta (003)",12,39,12,39,,
"Vivienda en casa de vecindad (004)",924,2856,924,2856,,
"Choza o cabaña (005)",3408,12721,,,3408,12721
"Vivienda improvisada (006)",4,21,4,21,,
"Local no dest.para hab. humana (007)",22,69,17,52,5,17
"Otro tipo (008)",7,19,2,7,5,12
