"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia SAN IGNACIO (000)",110773,33494,33960,22352,15433,5534
"Sin nivel (001)",11073,932,1335,2334,3887,2585
"Educación inicial (002)",1563,1500,44,19,,
"Primaria (003)",66028,26575,14413,12708,9560,2772
"Secundaria (004)",26494,4487,15514,5074,1312,107
"Superior no univ. incompleta (005)",1608,,1035,447,113,13
"Superior no univ. completa (006)",1737,,744,771,200,22
"Superior univ. incompleta (007)",786,,483,238,58,7
"Superior univ. completa (008)",1484,,392,761,303,28
"PEA (010)",44675,1333,17056,14043,9509,2734
"Sin nivel (011)",4395,98,619,1056,1685,937
"Educación inicial (012)",41,4,23,14,,
"Primaria (013)",24745,1021,8169,7597,6251,1707
"Secundaria (014)",11454,210,6695,3499,988,62
"Superior no univ. incompleta (015)",857,,424,331,94,8
"Superior no univ. completa (016)",1441,,587,673,174,7
"Superior univ. incompleta (017)",446,,203,191,47,5
"Superior univ. completa (018)",1296,,336,682,270,8
"Ocupada (020)",43839,1281,16623,13829,9402,2704
"Sin nivel (021)",4331,92,606,1043,1665,925
"Educación inicial (022)",41,4,23,14,,
"Primaria (023)",24328,985,8002,7472,6178,1691
"Secundaria (024)",11185,200,6498,3451,976,60
"Superior no univ. incompleta (025)",834,,408,324,94,8
"Superior no univ. completa (026)",1409,,566,664,172,7
"Superior univ. incompleta (027)",436,,195,189,47,5
"Superior univ. completa (028)",1275,,325,672,270,8
"Desocupada (030)",836,52,433,214,107,30
