"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"75 años (092)",626,273,353,385,174,211,241,99,142
"76 años (093)",417,182,235,269,116,153,148,66,82
"77 años (094)",401,199,202,245,115,130,156,84,72
"78 años (095)",501,197,304,328,123,205,173,74,99
"79 años (096)",290,131,159,175,77,98,115,54,61
"80 años (097)",570,194,376,334,121,213,236,73,163
"81 años (098)",192,89,103,128,58,70,64,31,33
"82 años (099)",266,104,162,180,67,113,86,37,49
"83 años (100)",201,80,121,137,50,87,64,30,34
"84 años (101)",202,99,103,133,60,73,69,39,30
"85 años (102)",348,126,222,236,78,158,112,48,64
"86 años (103)",174,88,86,113,63,50,61,25,36
"87 años (104)",190,79,111,126,45,81,64,34,30
"88 años (105)",122,46,76,75,26,49,47,20,27
"89 años (106)",112,47,65,67,25,42,45,22,23
"90 años (107)",162,48,114,93,23,70,69,25,44
"91 años (108)",45,25,20,37,19,18,8,6,2
"92 años (109)",60,20,40,35,14,21,25,6,19
"93 años (110)",34,12,22,24,8,16,10,4,6
"94 años (111)",31,12,19,24,8,16,7,4,3
"95 años (112)",67,23,44,39,14,25,28,9,19
"96 años (113)",45,12,33,32,9,23,13,3,10
"97 años (114)",27,16,11,20,13,7,7,3,4
"98 y más años (115)",232,70,162,105,29,76,127,41,86
