"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PACHITEA (000)",19450,58236,50585,,1286,86.9,2.2
"De 12 a 14 años (001)",2419,11,11,,3,100,27.3
"De 15 a 19 años (002)",2920,813,787,242,96.8,29.8,
"De 20 a 24 años (003)",2664,3129,3030,347,96.8,11.1,
"De 25 a 29 años (004)",2273,4953,4699,281,94.9,5.7,
"De 30 a 34 años (005)",1808,5982,5610,187,93.8,3.1,
"De 35 a 39 años (006)",1659,7318,6659,136,91,1.9,
"De 40 a 44 años (007)",1262,7089,6324,82,89.2,1.2,
"De 45 a 49 años (008)",1061,6653,5752,8,86.5,0.1,
"De 50 y más años (009)",3384,22288,17713,,79.5,,
"PEA (010)",2430,6361,5636,100,88.6,1.6,
"De 12 a 14 años (011)",53,,,,,,
"De 15 a 19 años (012)",325,64,64,16,100,25,
"De 20 a 24 años (013)",389,323,316,33,97.8,10.2,
"De 25 a 29 años (014)",374,486,463,17,95.3,3.5,
"De 30 a 34 años (015)",266,632,613,13,97,2.1,
"De 35 a 39 años (016)",278,910,827,15,90.9,1.6,
"De 40 a 44 años (017)",177,824,735,6,89.2,0.7,
"De 45 a 49 años (018)",172,798,693,,86.8,,
"De 50 y más años (019)",396,2324,1925,,82.8,,
"Ocupada (020)",2152,6074,5370,96,88.4,1.6,
"De 12 a 14 años (021)",47,,,,,,
"De 15 a 19 años (022)",247,57,57,16,100,28.1,
"De 20 a 24 años (023)",319,288,281,32,97.6,11.1,
"De 25 a 29 años (024)",328,462,440,16,95.2,3.5,
"De 30 a 34 años (025)",239,591,573,11,97,1.9,
"De 35 a 39 años (026)",258,855,774,15,90.5,1.8,
"De 40 a 44 años (027)",167,801,713,6,89,0.7,
"De 45 a 49 años (028)",165,758,664,,87.6,,
"De 50 y más años (029)",382,2262,1868,,82.6,,
"Desocupada (030)",278,287,266,4,92.7,1.4,
"De 12 a 14 años (031)",6,,,,,,
"De 15 a 19 años (032)",78,7,7,,100,,
"De 20 a 24 años (033)",70,35,35,1,100,2.9,
"De 25 a 29 años (034)",46,24,23,1,95.8,4.2,
"De 30 a 34 años (035)",27,41,40,2,97.6,4.9,
"De 35 a 39 años (036)",20,55,53,,96.4,,
"De 40 a 44 años (037)",10,23,22,,95.7,,
