"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANDIA (000)",26380,23982,1356,467,575
"Hombres (001)",16910,15161,972,359,418
"Mujeres (002)",9470,8821,384,108,157
"De 06 a 14 años (003)",272,250,21,,1
"Hombres (004)",149,139,10,,
"Mujeres (005)",123,111,11,,1
"De 15 a 29 años (006)",8539,7717,506,134,182
"Hombres (007)",5455,4854,376,109,116
"Mujeres (008)",3084,2863,130,25,66
"De 30 a 44 años (009)",9116,8087,536,230,263
"Hombres (010)",5781,5055,366,171,189
"Mujeres (011)",3335,3032,170,59,74
"De 45 a 64 años (012)",6361,5873,262,103,123
"Hombres (013)",4119,3737,196,79,107
"Mujeres (014)",2242,2136,66,24,16
"De 65 y más años (015)",2092,2055,31,,6
"Hombres (016)",1406,1376,24,,6
"Mujeres (017)",686,679,7,,
,,,,,
"URBANA (018)",6229,4960,500,304,465
"Hombres (019)",3698,2799,344,218,337
"Mujeres (020)",2531,2161,156,86,128
"De 06 a 14 años (021)",82,74,7,,1
"Hombres (022)",54,49,5,,
"Mujeres (023)",28,25,2,,1
"De 15 a 29 años (024)",1827,1469,148,66,144
"Hombres (025)",1080,838,104,48,90
"Mujeres (026)",747,631,44,18,54
"De 30 a 44 años (027)",2361,1742,246,160,213
"Hombres (028)",1359,933,160,112,154
"Mujeres (029)",1002,809,86,48,59
"De 45 a 64 años (030)",1496,1228,89,78,101
"Hombres (031)",912,697,70,58,87
"Mujeres (032)",584,531,19,20,14
"De 65 y más años (033)",463,447,10,,6
"Hombres (034)",293,282,5,,6
"Mujeres (035)",170,165,5,,
,,,,,
"RURAL (036)",20151,19022,856,163,110
"Hombres (037)",13212,12362,628,141,81
"Mujeres (038)",6939,6660,228,22,29
"De 06 a 14 años (039)",190,176,14,,
"Hombres (040)",95,90,5,,
"Mujeres (041)",95,86,9,,
"De 15 a 29 años (042)",6712,6248,358,68,38
"Hombres (043)",4375,4016,272,61,26
"Mujeres (044)",2337,2232,86,7,12
"De 30 a 44 años (045)",6755,6345,290,70,50
"Hombres (046)",4422,4122,206,59,35
"Mujeres (047)",2333,2223,84,11,15
"De 45 a 64 años (048)",4865,4645,173,25,22
"Hombres (049)",3207,3040,126,21,20
"Mujeres (050)",1658,1605,47,4,2
"De 65 y más años (051)",1629,1608,21,,
"Hombres (052)",1113,1094,19,,
"Mujeres (053)",516,514,2,,
