"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",26354,8560,17794
"Casa independiente (001)",26147,8460,17687
"Vivienda en quinta (003)",69,69,
"Vivienda en casa de vecindad (004)",16,16,
"Choza o cabaña (005)",94,,94
"Vivienda improvisada (006)",7,7,
"Local no dest.para hab. humana (007)",13,4,9
"Otro tipo (008)",8,4,4
