"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CORONEL PORTILLO (000)",333890,322876,9055,1959
"Hombres (001)",169182,163652,4512,1018
"Mujeres (002)",164708,159224,4543,941
"Menores de 1 año (003)",8269,5689,2063,517
"Hombres (004)",4228,2911,1052,265
"Mujeres (005)",4041,2778,1011,252
"De 1 a 5 años (006)",39631,32480,5804,1347
"Hombres (007)",20335,16615,3003,717
"Mujeres (008)",19296,15865,2801,630
"De 6 a 14 años (009)",68947,68547,364,36
"Hombres (010)",35122,34929,179,14
"Mujeres (011)",33825,33618,185,22
"De 15 a 29 años (012)",95605,95456,142,7
"Hombres (013)",47128,47058,67,3
"Mujeres (014)",48477,48398,75,4
"De 30 a 44 años (015)",64032,63941,84,7
"Hombres (016)",31821,31784,32,5
"Mujeres (017)",32211,32157,52,2
"De 45 a 64 años (018)",43906,43767,133,6
"Hombres (019)",23388,23349,38,1
"Mujeres (020)",20518,20418,95,5
"De 65 a más años (021)",13500,12996,465,39
"Hombres (022)",7160,7006,141,13
"Mujeres (023)",6340,5990,324,26
,,,,
"URBANA (024)",281946,273489,6959,1498
"Hombres (025)",140529,136313,3446,770
"Mujeres (026)",141417,137176,3513,728
"Menores de 1 año (027)",6807,4784,1628,395
"Hombres (028)",3463,2421,840,202
"Mujeres (029)",3344,2363,788,193
"De 1 a 5 años (030)",32026,26430,4559,1037
"Hombres (031)",16360,13465,2349,546
"Mujeres (032)",15666,12965,2210,491
"De 6 a 14 años (033)",56963,56704,237,22
"Hombres (034)",28850,28732,111,7
"Mujeres (035)",28113,27972,126,15
"De 15 a 29 años (036)",81787,81707,74,6
"Hombres (037)",39652,39618,31,3
"Mujeres (038)",42135,42089,43,3
"De 30 a 44 años (039)",55281,55235,41,5
"Hombres (040)",26780,26764,12,4
"Mujeres (041)",28501,28471,29,1
"De 45 a 64 años (042)",37606,37543,59,4
"Hombres (043)",19558,19547,10,1
"Mujeres (044)",18048,17996,49,3
"De 65 a más años (045)",11476,11086,361,29
"Hombres (046)",5866,5766,93,7
"Mujeres (047)",5610,5320,268,22
,,,,
"RURAL (048)",51944,49387,2096,461
"Hombres (049)",28653,27339,1066,248
"Mujeres (050)",23291,22048,1030,213
"Menores de 1 año (051)",1462,905,435,122
"Hombres (052)",765,490,212,63
"Mujeres (053)",697,415,223,59
"De 1 a 5 años (054)",7605,6050,1245,310
"Hombres (055)",3975,3150,654,171
"Mujeres (056)",3630,2900,591,139
"De 6 a 14 años (057)",11984,11843,127,14
"Hombres (058)",6272,6197,68,7
"Mujeres (059)",5712,5646,59,7
"De 15 a 29 años (060)",13818,13749,68,1
"Hombres (061)",7476,7440,36,
"Mujeres (062)",6342,6309,32,1
"De 30 a 44 años (063)",8751,8706,43,2
"Hombres (064)",5041,5020,20,1
"Mujeres (065)",3710,3686,23,1
"De 45 a 64 años (066)",6300,6224,74,2
"Hombres (067)",3830,3802,28,
"Mujeres (068)",2470,2422,46,2
"De 65 a más años (069)",2024,1910,104,10
"Hombres (070)",1294,1240,48,6
"Mujeres (071)",730,670,56,4
