"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia AZANGARO (000)",51974,145238,126131,,2436,86.8,1.7
"De 12 a 14 años (001)",5420,16,15,,1,93.8,6.3
"De 15 a 19 años (002)",7118,717,669,255,93.3,35.6,
"De 20 a 24 años (003)",5840,3972,3779,649,95.1,16.3,
"De 25 a 29 años (004)",4917,7956,7510,578,94.4,7.3,
"De 30 a 34 años (005)",4231,11103,10375,428,93.4,3.9,
"De 35 a 39 años (006)",4197,14888,13742,343,92.3,2.3,
"De 40 a 44 años (007)",3626,15705,14276,154,90.9,1,
"De 45 a 49 años (008)",3232,16524,14791,28,89.5,0.2,
"De 50 y más años (009)",13393,74357,60974,,82,,
"Conviviente (010)",10460,24597,22723,1554,92.4,6.3,
"De 12 a 14 años (011)",40,6,6,1,100,16.7,
"De 15 a 19 años (012)",810,533,493,214,92.5,40.2,
"De 20 a 24 años (013)",2420,2935,2804,519,95.5,17.7,
"De 25 a 29 años (014)",2567,5074,4782,432,94.2,8.5,
"De 30 a 34 años (015)",1833,5053,4733,223,93.7,4.4,
"De 35 a 39 años (016)",1248,4309,4004,128,92.9,3,
"De 40 a 44 años (017)",629,2509,2268,34,90.4,1.4,
"De 45 a 49 años (018)",348,1510,1365,3,90.4,0.2,
"De 50 y más años (019)",565,2668,2268,,85,,
"Separado(a) (020)",1915,4960,4450,87,89.7,1.8,
"De 12 a 14 años (021)",4,1,1,,100,,
"De 15 a 19 años (022)",59,52,50,11,96.2,21.2,
"De 20 a 24 años (023)",234,283,275,35,97.2,12.4,
"De 25 a 29 años (024)",274,398,383,13,96.2,3.3,
"De 30 a 34 años (025)",257,506,483,15,95.5,3,
"De 35 a 39 años (026)",277,760,692,9,91.1,1.2,
"De 40 a 44 años (027)",218,723,636,4,88,0.6,
"De 45 a 49 años (028)",176,602,535,,88.9,,
"De 50 y más años (029)",416,1635,1395,,85.3,,
"Casado(a) (030)",16725,86795,75670,687,87.2,0.8,
"De 12 a 14 años (031)",8,1,1,,100,,
"De 15 a 19 años (032)",52,44,43,8,97.7,18.2,
"De 20 a 24 años (033)",260,471,432,52,91.7,11,
"De 25 a 29 años (034)",801,2127,2003,120,94.2,5.6,
"De 30 a 34 años (035)",1446,4974,4617,175,92.8,3.5,
"De 35 a 39 años (036)",2135,9063,8358,196,92.2,2.2,
