"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CAJABAMBA (000)",21089,18905,1090,570,524
"Hombres (001)",16909,15366,803,383,357
"Mujeres (002)",4180,3539,287,187,167
"De 06 a 14 años (003)",618,594,23,1,
"Hombres (004)",483,462,20,1,
"Mujeres (005)",135,132,3,,
"De 15 a 29 años (006)",7250,6601,356,138,155
"Hombres (007)",5832,5334,282,101,115
"Mujeres (008)",1418,1267,74,37,40
"De 30 a 44 años (009)",6729,5716,486,295,232
"Hombres (010)",5260,4570,341,188,161
"Mujeres (011)",1469,1146,145,107,71
"De 45 a 64 años (012)",4761,4302,203,130,126
"Hombres (013)",3835,3537,139,88,71
"Mujeres (014)",926,765,64,42,55
"De 65 y más años (015)",1731,1692,22,6,11
"Hombres (016)",1499,1463,21,5,10
"Mujeres (017)",232,229,1,1,1
,,,,,
"URBANA (018)",5854,4427,601,440,386
"Hombres (019)",3601,2699,390,270,242
"Mujeres (020)",2253,1728,211,170,144
"De 06 a 14 años (021)",103,93,10,,
"Hombres (022)",61,52,9,,
"Mujeres (023)",42,41,1,,
"De 15 a 29 años (024)",1759,1415,166,85,93
"Hombres (025)",1131,892,116,56,67
"Mujeres (026)",628,523,50,29,26
"De 30 a 44 años (027)",2218,1500,295,240,183
"Hombres (028)",1287,847,183,139,118
"Mujeres (029)",931,653,112,101,65
"De 45 a 64 años (030)",1434,1096,121,112,105
"Hombres (031)",889,690,74,73,52
"Mujeres (032)",545,406,47,39,53
"De 65 y más años (033)",340,323,9,3,5
"Hombres (034)",233,218,8,2,5
"Mujeres (035)",107,105,1,1,
,,,,,
"RURAL (036)",15235,14478,489,130,138
"Hombres (037)",13308,12667,413,113,115
"Mujeres (038)",1927,1811,76,17,23
"De 06 a 14 años (039)",515,501,13,1,
"Hombres (040)",422,410,11,1,
"Mujeres (041)",93,91,2,,
"De 15 a 29 años (042)",5491,5186,190,53,62
"Hombres (043)",4701,4442,166,45,48
"Mujeres (044)",790,744,24,8,14
"De 30 a 44 años (045)",4511,4216,191,55,49
"Hombres (046)",3973,3723,158,49,43
"Mujeres (047)",538,493,33,6,6
"De 45 a 64 años (048)",3327,3206,82,18,21
"Hombres (049)",2946,2847,65,15,19
"Mujeres (050)",381,359,17,3,2
"De 65 y más años (051)",1391,1369,13,3,6
"Hombres (052)",1266,1245,13,3,5
"Mujeres (053)",125,124,,,1
