"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SULLANA (000)",92859,23071,20501,40578,2051,4595,2063
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",163,140,,,23,,
"Profes., científicos e intelectuales (002)",8022,6998,,907,97,20,
"Técnicos de nivel medio y trab. asimilados (003)",4104,2700,,1204,176,19,5
"Jefes y empleados de oficina (004)",3002,2961,,23,1,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",16446,4506,136,10196,374,1233,1
"Agricult.trabaj. calif.agrop. y pesqueros (006)",11288,12,56,10304,914,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",7532,,3050,4165,213,104,
"Obreros construc.,conf., papel, fab., instr. (008)",11190,1278,2652,7024,139,97,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",28181,2956,14098,6034,71,2965,2057
"Otra (010)",826,826,,,,,
"Ocupación no especificada (011)",2105,694,509,721,43,138,
"Hombres (012)",67873,12948,18779,31251,1680,3122,93
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",100,88,,,12,,
"Profes., científicos e intelectuales (014)",3368,2758,,533,70,7,
"Técnicos de nivel medio y trab. asimilados (015)",2562,1550,,893,112,7,
"Jefes y empleados de oficina (016)",1517,1510,,3,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",8578,2730,61,5310,208,269,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",10953,10,55,10014,872,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",6495,,2675,3546,206,68,
"Obreros construc.,conf., papel, fab., instr. (020)",10978,1265,2589,6900,133,91,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",21417,1910,13055,3688,43,2628,93
"Otra (022)",792,792,,,,,
"Ocupación no especificada (023)",1113,335,344,364,24,46,
"Mujeres (024)",24986,10123,1722,9327,371,1473,1970
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",63,52,,,11,,
"Profes., científicos e intelectuales (026)",4654,4240,,374,27,13,
"Técnicos de nivel medio y trab. asimilados (027)",1542,1150,,311,64,12,5
"Jefes y empleados de oficina (028)",1485,1451,,20,1,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",7868,1776,75,4886,166,964,1
"Agricult.trabaj. calif.agrop. y pesqueros (030)",335,2,1,290,42,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",1037,,375,619,7,36,
"Obreros construc.,conf., papel, fab., instr. (032)",212,13,63,124,6,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",6764,1046,1043,2346,28,337,1964
"Otra (034)",34,34,,,,,
"Ocupación no especificada (035)",992,359,165,357,19,92,
,,,,,,,
"URBANA (036)",84396,22672,17159,37241,1891,3486,1947
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",153,130,,,23,,
"Profes., científicos e intelectuales (038)",7919,6912,,892,95,20,
"Técnicos de nivel medio y trab. asimilados (039)",4039,2654,,1188,173,19,5
"Jefes y empleados de oficina (040)",2958,2917,,23,1,17,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",16090,4439,130,9946,366,1208,1
"Agricult.trabaj. calif.agrop. y pesqueros (042)",8502,9,37,7680,774,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",7363,,2963,4089,209,102,
"Obreros construc.,conf., papel, fab., instr. (044)",10958,1253,2586,6885,138,96,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",23780,2897,11086,5891,70,1895,1941
"Otra (046)",787,787,,,,,
"Ocupación no especificada (047)",1847,674,357,647,42,127,
"Hombres (048)",60386,12684,15684,28240,1537,2158,83
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",94,82,,,12,,
"Profes., científicos e intelectuales (050)",3324,2720,,528,69,7,
"Técnicos de nivel medio y trab. asimilados (051)",2529,1525,,885,112,7,
"Jefes y empleados de oficina (052)",1486,1479,,3,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",8396,2684,59,5187,203,263,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",8247,7,36,7462,740,2,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",6355,,2602,3483,202,68,
"Obreros construc.,conf., papel, fab., instr. (056)",10749,1240,2524,6763,132,90,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",17540,1871,10255,3611,43,1677,83
"Otra (058)",753,753,,,,,
"Ocupación no especificada (059)",913,323,208,318,24,40,
"Mujeres (060)",24010,9988,1475,9001,354,1328,1864
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",59,48,,,11,,
"Profes., científicos e intelectuales (062)",4595,4192,,364,26,13,
"Técnicos de nivel medio y trab. asimilados (063)",1510,1129,,303,61,12,5
"Jefes y empleados de oficina (064)",1472,1438,,20,1,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",7694,1755,71,4759,163,945,1
"Agricult.trabaj. calif.agrop. y pesqueros (066)",255,2,1,218,34,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",1008,,361,606,7,34,
"Obreros construc.,conf., papel, fab., instr. (068)",209,13,62,122,6,6,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",6240,1026,831,2280,27,218,1858
"Otra (070)",34,34,,,,,
"Ocupación no especificada (071)",934,351,149,329,18,87,
,,,,,,,
"RURAL (072)",8463,399,3342,3337,160,1109,116
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",10,10,,,,,
"Profes., científicos e intelectuales (074)",103,86,,15,2,,
"Técnicos de nivel medio y trab. asimilados (075)",65,46,,16,3,,
"Jefes y empleados de oficina (076)",44,44,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",356,67,6,250,8,25,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",2786,3,19,2624,140,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",169,,87,76,4,2,
"Obreros construc.,conf., papel, fab., instr. (080)",232,25,66,139,1,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4401,59,3012,143,1,1070,116
"Otra (082)",39,39,,,,,
"Ocupación no especificada (083)",258,20,152,74,1,11,
"Hombres (084)",7487,264,3095,3011,143,964,10
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",6,6,,,,,
"Profes., científicos e intelectuales (086)",44,38,,5,1,,
"Técnicos de nivel medio y trab. asimilados (087)",33,25,,8,,,
"Jefes y empleados de oficina (088)",31,31,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",182,46,2,123,5,6,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",2706,3,19,2552,132,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",140,,73,63,4,,
"Obreros construc.,conf., papel, fab., instr. (092)",229,25,65,137,1,1,
