"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia BONGARA (000)",9747,26857,24342,,435,90.6,1.6
"De 12 a 14 años (001)",1018,4,3,,2,75,50
"De 15 a 19 años (002)",1350,287,280,66,97.6,23,
"De 20 a 24 años (003)",1057,1052,1025,117,97.4,11.1,
"De 25 a 29 años (004)",950,1681,1644,96,97.8,5.7,
"De 30 a 34 años (005)",914,2347,2285,77,97.4,3.3,
"De 35 a 39 años (006)",966,3114,2990,48,96,1.5,
"De 40 a 44 años (007)",791,3110,2941,23,94.6,0.7,
"De 45 a 49 años (008)",626,3022,2801,6,92.7,0.2,
"De 50 y más años (009)",2075,12240,10373,,84.7,,
"PEA (010)",2591,7366,6754,73,91.7,1,
"De 12 a 14 años (011)",38,,,,,,
"De 15 a 19 años (012)",219,55,54,9,98.2,16.4,
"De 20 a 24 años (013)",258,161,155,8,96.3,5,
"De 25 a 29 años (014)",310,428,417,20,97.4,4.7,
"De 30 a 34 años (015)",307,665,656,18,98.6,2.7,
"De 35 a 39 años (016)",382,1050,1013,15,96.5,1.4,
"De 40 a 44 años (017)",297,998,947,3,94.9,0.3,
"De 45 a 49 años (018)",238,957,893,,93.3,,
"De 50 y más años (019)",542,3052,2619,,85.8,,
"Ocupada (020)",2523,7251,6646,72,91.7,1,
"De 12 a 14 años (021)",34,,,,,,
"De 15 a 19 años (022)",205,55,54,9,98.2,16.4,
"De 20 a 24 años (023)",242,155,149,8,96.1,5.2,
"De 25 a 29 años (024)",304,421,410,20,97.4,4.8,
"De 30 a 34 años (025)",298,647,638,17,98.6,2.6,
"De 35 a 39 años (026)",375,1034,997,15,96.4,1.5,
"De 40 a 44 años (027)",294,984,933,3,94.8,0.3,
"De 45 a 49 años (028)",235,939,879,,93.6,,
"De 50 y más años (029)",536,3016,2586,,85.7,,
"Desocupada (030)",68,115,108,1,93.9,0.9,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",14,,,,,,
"De 20 a 24 años (033)",16,6,6,,100,,
"De 25 a 29 años (034)",6,7,7,,100,,
"De 30 a 34 años (035)",9,18,18,1,100,5.6,
"De 35 a 39 años (036)",7,16,16,,100,,
"De 40 a 44 años (037)",3,14,14,,100,,
"De 45 a 49 años (038)",3,18,14,,77.8,,
