"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia OYON (000)",7550,79,2378,2804,1753,536
"Agric., ganadería, caza y silvicultura (001)",2095,43,472,562,644,374
"Pesca (002)",14,1,7,4,1,1
"Explotación de minas y canteras (003)",1735,,646,788,296,5
"Industrias manufactureras (004)",262,3,93,87,58,21
"Suministro de electricidad, gas y agua (005)",10,,3,3,4,
"Construcción (006)",392,4,141,143,86,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",711,12,213,246,193,47
"Venta, mant.y rep. veh.autom.y motoc. (008)",83,,34,27,21,1
"Comercio al por mayor (009)",24,,7,11,5,1
"Comercio al por menor (010)",604,12,172,208,167,45
"Hoteles y restaurantes (011)",400,11,170,105,92,22
"Trans., almac. y comunicaciones (012)",330,1,142,120,63,4
"Intermediación financiera (013)",3,,,2,1,
"Activid.inmobil., empres. y alquileres (014)",153,,55,65,28,5
"Admin.pub. y defensa; p. segur.soc.afil (015)",164,,45,60,56,3
"Enseñanza (016)",415,,80,270,63,2
"Servicios sociales y de salud (017)",50,,16,24,7,3
"Otras activ. serv.comun.soc y personales (018)",177,2,61,67,42,5
"Hogares privados con servicio doméstico (019)",78,2,52,16,7,1
"Actividad economica no especificada (021)",561,,182,242,112,25
"Hombres (022)",5609,46,1767,2125,1294,377
"Agric., ganadería, caza y silvicultura (023)",1533,24,371,425,448,265
"Pesca (024)",12,1,6,3,1,1
"Explotación de minas y canteras (025)",1675,,609,769,292,5
"Industrias manufactureras (026)",220,1,80,78,47,14
"Suministro de electricidad, gas y agua (027)",10,,3,3,4,
"Construcción (028)",386,4,139,141,84,18
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",365,10,109,112,102,32
"Venta, mant.y rep. veh.autom.y motoc. (030)",79,,32,26,20,1
"Comercio al por mayor (031)",18,,6,8,3,1
"Comercio al por menor (032)",268,10,71,78,79,30
"Hoteles y restaurantes (033)",136,4,58,33,32,9
"Trans., almac. y comunicaciones (034)",308,1,128,114,61,4
"Intermediación financiera (035)",1,,,,1,
"Activid.inmobil., empres. y alquileres (036)",110,,32,52,22,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",121,,23,45,50,3
"Enseñanza (038)",194,,29,123,40,2
"Servicios sociales y de salud (039)",17,,6,7,3,1
"Otras activ. serv.comun.soc y personales (040)",88,1,36,26,20,5
"Hogares privados con servicio doméstico (041)",7,,6,1,,
