"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia PADRE ABAD (000)",20186,2647,3947,9890,528,2278,351,545
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",20,20,,,,,,
"Profes., científicos e intelectuales (002)",790,673,,107,7,3,,
"Técnicos de nivel medio y trab. asimilados (003)",358,256,,85,17,,,
"Jefes y empleados de oficina (004)",380,379,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1988,461,27,1190,94,216,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6905,,4,6584,315,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1074,,503,497,41,33,,
"Obreros construc.,conf.,papel, fab., instr. (008)",1608,207,572,788,26,15,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",5640,276,2633,450,14,1916,351,
"Otra (010)",232,232,,,,,,
"Ocupación no especificada (011)",646,143,208,189,14,92,,
"Desocupado (012)",545,,,,,,,545
"Hombres (013)",15290,1679,3409,8116,436,1217,46,387
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",15,15,,,,,,
"Profes., científicos e intelectuales (015)",438,378,,54,4,2,,
"Técnicos de nivel medio y trab. asimilados (016)",276,198,,66,12,,,
"Jefes y empleados de oficina (017)",221,220,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",802,219,3,487,56,37,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",6340,,3,6054,281,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",958,,470,427,37,24,,
"Obreros construc.,conf.,papel, fab., instr. (021)",1557,201,554,765,26,11,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",3659,125,2222,153,8,1105,46,
"Otra (023)",231,231,,,,,,
"Ocupación no especificada (024)",406,92,157,110,12,35,,
"Desocupado (025)",387,,,,,,,387
"Mujeres (026)",4896,968,538,1774,92,1061,305,158
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",5,5,,,,,,
"Profes., científicos e intelectuales (028)",352,295,,53,3,1,,
"Técnicos de nivel medio y trab. asimilados (029)",82,58,,19,5,,,
"Jefes y empleados de oficina (030)",159,159,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1186,242,24,703,38,179,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",565,,1,530,34,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",116,,33,70,4,9,,
"Obreros construc.,conf.,papel, fab., instr. (034)",51,6,18,23,,4,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",1981,151,411,297,6,811,305,
"Otra (036)",1,1,,,,,,
"Ocupación no especificada (037)",240,51,51,79,2,57,,
"Desocupado (038)",158,,,,,,,158
,,,,,,,,
"URBANA (039)",10883,2326,2338,4579,298,727,236,379
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",17,17,,,,,,
"Profes., científicos e intelectuales (041)",650,555,,86,7,2,,
"Técnicos de nivel medio y trab. asimilados (042)",318,227,,74,17,,,
"Jefes y empleados de oficina (043)",346,345,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",1694,402,13,994,88,197,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1984,,2,1879,103,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",905,,425,414,37,29,,
"Obreros construc.,conf.,papel, fab., instr. (047)",1373,184,492,664,23,10,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",2547,239,1241,373,14,444,236,
"Otra (049)",232,232,,,,,,
"Ocupación no especificada (050)",438,125,165,95,9,44,,
"Desocupado (051)",379,,,,,,,379
"Hombres (052)",7824,1499,2038,3420,228,346,27,266
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",13,13,,,,,,
"Profes., científicos e intelectuales (054)",364,314,,45,4,1,,
"Técnicos de nivel medio y trab. asimilados (055)",255,184,,59,12,,,
"Jefes y empleados de oficina (056)",198,197,,,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",715,193,3,432,52,35,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",1778,,1,1688,89,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",810,,400,357,33,20,,
"Obreros construc.,conf.,papel, fab., instr. (060)",1334,178,476,649,23,8,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",1564,107,1030,136,8,256,27,
"Otra (062)",231,231,,,,,,
"Ocupación no especificada (063)",296,82,128,54,7,25,,
"Desocupado (064)",266,,,,,,,266
"Mujeres (065)",3059,827,300,1159,70,381,209,113
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",4,4,,,,,,
"Profes., científicos e intelectuales (067)",286,241,,41,3,1,,
"Técnicos de nivel medio y trab. asimilados (068)",63,43,,15,5,,,
"Jefes y empleados de oficina (069)",148,148,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",979,209,10,562,36,162,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",206,,1,191,14,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",95,,25,57,4,9,,
"Obreros construc.,conf.,papel, fab., instr. (073)",39,6,16,15,,2,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",983,132,211,237,6,188,209,
"Otra (075)",1,1,,,,,,
"Ocupación no especificada (076)",142,43,37,41,2,19,,
"Desocupado (077)",113,,,,,,,113
,,,,,,,,
"RURAL (078)",9303,321,1609,5311,230,1551,115,166
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",3,3,,,,,,
"Profes., científicos e intelectuales (080)",140,118,,21,,1,,
"Técnicos de nivel medio y trab. asimilados (081)",40,29,,11,,,,
"Jefes y empleados de oficina (082)",34,34,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",294,59,14,196,6,19,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",4921,,2,4705,212,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",169,,78,83,4,4,,
"Obreros construc.,conf.,papel, fab., instr. (086)",235,23,80,124,3,5,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",3093,37,1392,77,,1472,115,
"Ocupación no especificada (089)",208,18,43,94,5,48,,
"Desocupado (090)",166,,,,,,,166
"Hombres (091)",7466,180,1371,4696,208,871,19,121
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",2,2,,,,,,
"Profes., científicos e intelectuales (093)",74,64,,9,,1,,
"Técnicos de nivel medio y trab. asimilados (094)",21,14,,7,,,,
"Jefes y empleados de oficina (095)",23,23,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",87,26,,55,4,2,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",4562,,2,4366,192,2,,
