"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SANTA CRUZ (000)",11122,910,10,4979,3423,231,858,148,563
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",29,,,2,7,1,7,3,9
"Profes., científicos e intelectuales (002)",1084,,,,36,61,491,66,430
"Técnicos de nivel medio ytrab.asimilados (003)",143,,,7,23,19,70,6,18
"Jefes y empleados de oficina (004)",181,,,2,52,21,64,13,29
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",528,14,,174,234,27,45,12,22
"Agricult.trabaj. calif.agrop. y pesquros (006)",4508,417,2,2663,1342,30,32,9,13
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",272,2,,106,129,9,16,3,7
"Obreros. construc., conf., papel, fab., instr (008)",336,2,,80,198,19,25,5,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",3586,400,7,1764,1294,36,55,18,12
"Otra (010)",55,,,,13,2,32,4,4
"Ocupación no especificada (011)",400,75,1,181,95,6,21,9,12
"Hombres (012)",8870,609,9,4235,2924,159,503,99,332
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",25,,,2,5,1,6,3,8
"Profes., científicos e intelectuales (014)",575,,,,12,30,256,39,238
"Técnicos de nivel medio ytrab.asimilados (015)",80,,,2,14,12,35,5,12
"Jefes y empleados de oficina (016)",106,,,,30,10,36,9,21
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",243,2,,77,118,13,20,4,9
"Agricult.trabaj. calif.agrop. y pesquros (018)",4363,377,2,2596,1308,28,31,9,12
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",231,1,,80,118,8,15,3,6
"Obreros. construc., conf., papel, fab., instr (020)",327,2,,76,195,19,23,5,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2734,220,7,1346,1069,33,36,14,9
"Otra (022)",55,,,,13,2,32,4,4
"Ocupación no especificada (023)",131,7,,56,42,3,13,4,6
"Mujeres (024)",2252,301,1,744,499,72,355,49,231
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",4,,,,2,,1,,1
"Profes., científicos e intelectuales (026)",509,,,,24,31,235,27,192
"Técnicos de nivel medio ytrab.asimilados (027)",63,,,5,9,7,35,1,6
"Jefes y empleados de oficina (028)",75,,,2,22,11,28,4,8
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",285,12,,97,116,14,25,8,13
"Agricult.trabaj. calif.agrop. y pesquros (030)",145,40,,67,34,2,1,,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",41,1,,26,11,1,1,,1
"Obreros. construc., conf., papel, fab., instr (032)",9,,,4,3,,2,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",852,180,,418,225,3,19,4,3
"Ocupación no especificada (035)",269,68,1,125,53,3,8,5,6
,,,,,,,,,
"URBANA (036)",3066,68,,713,990,140,604,112,439
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",19,,,1,6,,5,3,4
"Profes., científicos e intelectuales (038)",754,,,,16,29,330,48,331
