"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARABAYA (000)",24576,21197,1457,943,979
"Sin nivel (001)",3167,3093,52,9,13
"Educación inicial (002)",20,19,1,,
"Primaria (003)",11608,10845,458,173,132
"Secundaria (004)",7518,6362,517,309,330
"Superior no univ. incompleta (005)",479,261,78,59,81
"Superior no univ. completa (006)",676,259,132,130,155
"Superior univ. incompleta (007)",290,144,34,46,66
"Superior univ. completa (008)",818,214,185,217,202
"De 06 a 14 años (010)",637,626,10,1,
"Sin nivel (011)",52,51,1,,
"Educación inicial (012)",4,4,,,
"Primaria (013)",519,511,7,1,
"Secundaria (014)",62,60,2,,
"De 15 a 29 años (020)",8578,7233,608,364,373
"Sin nivel (021)",294,281,6,3,4
"Educación inicial (022)",6,5,1,,
"Primaria (023)",3185,2934,156,51,44
"Secundaria (024)",4341,3689,319,198,135
"Superior no univ. incompleta (025)",219,111,39,32,37
"Superior no univ. completa (026)",222,97,37,26,62
"Superior univ. incompleta (027)",106,59,8,11,28
"Superior univ. completa (028)",205,57,42,43,63
"De 30 a 44 años (030)",8603,7162,615,403,423
"Sin nivel (031)",697,676,16,1,4
"Educación inicial (032)",10,10,,,
"Primaria (033)",4388,4061,195,79,53
"Secundaria (034)",2361,1998,152,78,133
"Superior no univ. incompleta (035)",194,114,29,19,32
"Superior no univ. completa (036)",368,130,88,82,68
"Superior univ. incompleta (037)",134,63,21,24,26
"Superior univ. completa (038)",451,110,114,120,107
"De 45 a 64 años (040)",5246,4703,198,170,175
"Sin nivel (041)",1337,1306,22,4,5
"Primaria (043)",2848,2692,83,40,33
"Secundaria (044)",710,578,42,33,57
"Superior no univ. incompleta (045)",64,34,10,8,12
"Superior no univ. completa (046)",83,30,7,22,24
"Superior univ. incompleta (047)",48,21,5,10,12
"Superior univ. completa (048)",156,42,29,53,32
"De 65 y más años (050)",1512,1473,26,5,8
"Sin nivel (051)",787,779,7,1,
"Primaria (053)",668,647,17,2,2
"Secundaria (054)",44,37,2,,5
"Superior no univ. incompleta (055)",2,2,,,
"Superior no univ. completa (056)",3,2,,,1
"Superior univ. incompleta (057)",2,1,,1,
"Superior univ. completa (058)",6,5,,1,
,,,,,
"URBANA (060)",8154,6046,665,694,749
