"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PIURA (000)",175996,1330,4496,10473,19637,33444,61647,44969
"De 12 a 14 años (001)",193,,,,,,13,180
"De 15 a 19 años (002)",4200,,,,,,2404,1796
"De 20 a 24 años (003)",18509,,,,,23,10194,8292
"De 25 a 29 años (004)",23610,,,,,791,14795,8024
"De 30 a 34 años (005)",22807,,,,3,2819,14564,5421
"De 35 a 39 años (006)",21553,,,,187,5905,11287,4174
"De 40 a 44 años (007)",19338,,,,1124,8436,6056,3722
"De 45 a 49 años (008)",16861,,,90,3267,8375,2083,3046
"De 50 y más años (009)",48925,1330,4496,10383,15056,7095,251,10314
"PEA (010)",56907,45,332,1701,6082,13541,18590,16616
"De 12 a 14 años (011)",11,,,,,,,11
"De 15 a 19 años (012)",565,,,,,,310,255
"De 20 a 24 años (013)",4964,,,,,14,2136,2814
"De 25 a 29 años (014)",8027,,,,,312,4127,3588
"De 30 a 34 años (015)",8630,,,,1,1224,4787,2618
"De 35 a 39 años (016)",8792,,,,95,2651,4063,1983
"De 40 a 44 años (017)",8159,,,,521,3656,2305,1677
"De 45 a 49 años (018)",6950,,,44,1393,3373,780,1360
"De 50 y más años (019)",10809,45,332,1657,4072,2311,82,2310
"Ocupada (020)",54694,44,326,1679,5980,13166,17812,15687
"De 12 a 14 años (021)",10,,,,,,,10
"De 15 a 19 años (022)",501,,,,,,273,228
"De 20 a 24 años (023)",4498,,,,,14,1953,2531
"De 25 a 29 años (024)",7500,,,,,291,3903,3306
"De 30 a 34 años (025)",8309,,,,1,1179,4620,2509
"De 35 a 39 años (026)",8528,,,,89,2575,3965,1899
"De 40 a 44 años (027)",7959,,,,510,3567,2254,1628
"De 45 a 49 años (028)",6764,,,43,1362,3279,762,1318
"De 50 y más años (029)",10625,44,326,1636,4018,2261,82,2258
"Desocupada (030)",2213,1,6,22,102,375,778,929
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",64,,,,,,37,27
"De 20 a 24 años (033)",466,,,,,,183,283
"De 25 a 29 años (034)",527,,,,,21,224,282
"De 30 a 34 años (035)",321,,,,,45,167,109
"De 35 a 39 años (036)",264,,,,6,76,98,84
"De 40 a 44 años (037)",200,,,,11,89,51,49
"De 45 a 49 años (038)",186,,,1,31,94,18,42
"De 50 y más años (039)",184,1,6,21,54,50,,52
"No PEA (040)",119089,1285,4164,8772,13555,19903,43057,28353
"De 12 a 14 años (041)",182,,,,,,13,169
"De 15 a 19 años (042)",3635,,,,,,2094,1541
"De 20 a 24 años (043)",13545,,,,,9,8058,5478
