"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TAYACAJA (000)",36326,7798,28528
"Casa independiente (001)",34623,7566,27057
"Departamento en edificio (002)",3,3,
"Vivienda en quinta (003)",73,73,
"Vivienda en casa de vecindad (004)",130,130,
"Choza o cabaña (005)",1461,,1461
"Vivienda improvisada (006)",17,17,
"Local no dest.para hab. humana (007)",17,9,8
"Otro tipo (008)",2,,2
