"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANCABAMBA (000)",30841,2933,2545,18775,369,5708,511
"Sin nivel (001)",5010,32,403,3460,45,951,119
"Educación inicial (002)",39,,6,16,,12,5
"Primaria (003)",16099,133,1269,10922,227,3316,232
"Secundaria (004)",5455,397,605,3024,78,1233,118
"Superior no univ. incompleta (005)",791,263,80,352,7,71,18
"Superior no univ. completa (006)",1905,1076,118,618,6,76,11
"Superior univ. incompleta (007)",385,147,29,179,5,24,1
"Superior univ. completa (008)",1157,885,35,204,1,25,7
"Hombres (010)",23988,1667,2094,16116,322,3764,25
"Sin nivel (011)",3343,10,251,2647,33,392,10
"Educación inicial (012)",22,,3,12,,7,
"Primaria (013)",13425,74,1044,9874,210,2217,6
"Secundaria (014)",4532,282,552,2595,69,1025,9
"Superior no univ. incompleta (015)",538,154,74,259,5,46,
"Superior no univ. completa (016)",1169,566,112,442,2,47,
"Superior univ. incompleta (017)",271,88,28,137,3,15,
"Superior univ. completa (018)",688,493,30,150,,15,
"Mujeres (020)",6853,1266,451,2659,47,1944,486
"Sin nivel (021)",1667,22,152,813,12,559,109
"Educación inicial (022)",17,,3,4,,5,5
"Primaria (023)",2674,59,225,1048,17,1099,226
"Secundaria (024)",923,115,53,429,9,208,109
"Superior no univ. incompleta (025)",253,109,6,93,2,25,18
"Superior no univ. completa (026)",736,510,6,176,4,29,11
"Superior univ. incompleta (027)",114,59,1,42,2,9,1
"Superior univ. completa (028)",469,392,5,54,1,10,7
,,,,,,,
"URBANA (030)",5346,1866,537,2340,32,332,239
"Sin nivel (031)",233,13,35,124,1,33,27
"Educación inicial (032)",5,,1,,,,4
"Primaria (033)",1148,52,189,699,3,99,106
"Secundaria (034)",1374,248,188,732,18,116,72
"Superior no univ. incompleta (035)",427,161,30,193,3,24,16
"Superior no univ. completa (036)",1142,679,56,366,2,32,7
"Superior univ. incompleta (037)",226,96,19,95,5,10,1
"Superior univ. completa (038)",791,617,19,131,,18,6
"Hombres (040)",3273,1005,463,1601,20,179,5
"Sin nivel (041)",109,5,22,69,,13,
"Educación inicial (042)",1,,1,,,,
"Primaria (043)",735,33,159,490,,51,2
"Secundaria (044)",975,173,170,538,15,76,3
"Superior no univ. incompleta (045)",260,92,25,128,2,13,
"Superior no univ. completa (046)",615,325,52,224,,14,
"Superior univ. incompleta (047)",144,54,18,65,3,4,
"Superior univ. completa (048)",434,323,16,87,,8,
"Mujeres (050)",2073,861,74,739,12,153,234
"Sin nivel (051)",124,8,13,55,1,20,27
"Educación inicial (052)",4,,,,,,4
"Primaria (053)",413,19,30,209,3,48,104
"Secundaria (054)",399,75,18,194,3,40,69
"Superior no univ. incompleta (055)",167,69,5,65,1,11,16
"Superior no univ. completa (056)",527,354,4,142,2,18,7
"Superior univ. incompleta (057)",82,42,1,30,2,6,1
"Superior univ. completa (058)",357,294,3,44,,10,6
,,,,,,,
"RURAL (060)",25495,1067,2008,16435,337,5376,272
"Sin nivel (061)",4777,19,368,3336,44,918,92
"Educación inicial (062)",34,,5,16,,12,1
"Primaria (063)",14951,81,1080,10223,224,3217,126
"Secundaria (064)",4081,149,417,2292,60,1117,46
"Superior no univ. incompleta (065)",364,102,50,159,4,47,2
"Superior no univ. completa (066)",763,397,62,252,4,44,4
"Superior univ. incompleta (067)",159,51,10,84,,14,
"Superior univ. completa (068)",366,268,16,73,1,7,1
"Hombres (070)",20715,662,1631,14515,302,3585,20
"Sin nivel (071)",3234,5,229,2578,33,379,10
"Educación inicial (072)",21,,2,12,,7,
"Primaria (073)",12690,41,885,9384,210,2166,4
"Secundaria (074)",3557,109,382,2057,54,949,6
"Superior no univ. incompleta (075)",278,62,49,131,3,33,
"Superior no univ. completa (076)",554,241,60,218,2,33,
"Superior univ. incompleta (077)",127,34,10,72,,11,
"Superior univ. completa (078)",254,170,14,63,,7,
"Mujeres (080)",4780,405,377,1920,35,1791,252
"Sin nivel (081)",1543,14,139,758,11,539,82
"Educación inicial (082)",13,,3,4,,5,1
"Primaria (083)",2261,40,195,839,14,1051,122
"Secundaria (084)",524,40,35,235,6,168,40
"Superior no univ. incompleta (085)",86,40,1,28,1,14,2
"Superior no univ. completa (086)",209,156,2,34,2,11,4
"Superior univ. incompleta (087)",32,17,,12,,3,
"Superior univ. completa (088)",112,98,2,10,1,,1
