"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia GENERAL SANCHEZ CERRO (000)",993,283,710
"Sin nivel (001)",27,1,26
"Educación inicial (002)",1,,1
"Primaria (003)",165,31,134
"Secundaria (004)",457,136,321
"Superior no univ. incompleta (005)",104,40,64
"Superior no univ. completa (006)",133,44,89
"Superior univ. incompleta (007)",46,17,29
"Superior univ. completa (008)",60,14,46
"De 14 a 29 años (010)",551,220,331
"Sin nivel (011)",2,,2
"Educación inicial (012)",1,,1
"Primaria (013)",41,17,24
"Secundaria (014)",303,113,190
"Superior no univ. incompleta (015)",74,29,45
"Superior no univ. completa (016)",77,36,41
"Superior univ. incompleta (017)",28,15,13
"Superior univ. completa (018)",25,10,15
"De 30 a 44 años (020)",270,54,216
"Sin nivel (021)",10,1,9
"Primaria (023)",51,10,41
"Secundaria (024)",104,21,83
"Superior no univ. incompleta (025)",25,9,16
"Superior no univ. completa (026)",45,7,38
"Superior univ. incompleta (027)",14,2,12
"Superior univ. completa (028)",21,4,17
"De 45 a 64 años (030)",136,9,127
"Sin nivel (031)",10,,10
"Primaria (033)",47,4,43
"Secundaria (034)",46,2,44
"Superior no univ. incompleta (035)",5,2,3
"Superior no univ. completa (036)",11,1,10
"Superior univ. incompleta (037)",4,,4
"Superior univ. completa (038)",13,,13
"De 65 y más años (040)",36,,36
"Sin nivel (041)",5,,5
"Primaria (043)",26,,26
"Secundaria (044)",4,,4
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",327,125,202
"Sin nivel (051)",6,,6
"Primaria (053)",40,14,26
"Secundaria (054)",137,56,81
"Superior no univ. incompleta (055)",35,14,21
"Superior no univ. completa (056)",60,24,36
"Superior univ. incompleta (057)",20,10,10
"Superior univ. completa (058)",29,7,22
"De 14 a 29 años (060)",177,97,80
"Primaria (063)",9,7,2
"Secundaria (064)",80,45,35
"Superior no univ. incompleta (065)",28,13,15
"Superior no univ. completa (066)",38,20,18
"Superior univ. incompleta (067)",10,9,1
"Superior univ. completa (068)",12,3,9
"De 30 a 44 años (070)",97,24,73
"Sin nivel (071)",3,,3
"Primaria (073)",15,5,10
"Secundaria (074)",37,10,27
"Superior no univ. incompleta (075)",6,1,5
"Superior no univ. completa (076)",16,3,13
"Superior univ. incompleta (077)",8,1,7
"Superior univ. completa (078)",12,4,8
"De 45 a 64 años (080)",48,4,44
"Sin nivel (081)",2,,2
"Primaria (083)",14,2,12
"Secundaria (084)",18,1,17
"Superior no univ. incompleta (085)",1,,1
"Superior no univ. completa (086)",6,1,5
"Superior univ. incompleta (087)",2,,2
"Superior univ. completa (088)",5,,5
"De 65 y más años (090)",5,,5
"Sin nivel (091)",1,,1
"Primaria (093)",2,,2
"Secundaria (094)",2,,2
,,,
"AREA RURAL (100)",666,158,508
"Sin nivel (101)",21,1,20
"Educación inicial (102)",1,,1
"Primaria (103)",125,17,108
"Secundaria (104)",320,80,240
"Superior no univ. incompleta (105)",69,26,43
"Superior no univ. completa (106)",73,20,53
"Superior univ. incompleta (107)",26,7,19
"Superior univ. completa (108)",31,7,24
"De 14 a 29 años (110)",374,123,251
"Sin nivel (111)",2,,2
"Educación inicial (112)",1,,1
"Primaria (113)",32,10,22
"Secundaria (114)",223,68,155
"Superior no univ. incompleta (115)",46,16,30
"Superior no univ. completa (116)",39,16,23
"Superior univ. incompleta (117)",18,6,12
"Superior univ. completa (118)",13,7,6
"De 30 a 44 años (120)",173,30,143
"Sin nivel (121)",7,1,6
"Primaria (123)",36,5,31
"Secundaria (124)",67,11,56
"Superior no univ. incompleta (125)",19,8,11
"Superior no univ. completa (126)",29,4,25
"Superior univ. incompleta (127)",6,1,5
"Superior univ. completa (128)",9,,9
"De 45 a 64 años (130)",88,5,83
"Sin nivel (131)",8,,8
"Primaria (133)",33,2,31
"Secundaria (134)",28,1,27
"Superior no univ. incompleta (135)",4,2,2
"Superior no univ. completa (136)",5,,5
"Superior univ. incompleta (137)",2,,2
"Superior univ. completa (138)",8,,8
"De 65 y más años (140)",31,,31
"Sin nivel (141)",4,,4
"Primaria (143)",24,,24
"Secundaria (144)",2,,2
"Superior univ. completa (148)",1,,1
