"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCABAMBA (000)",29857,28637,140,4735,4440,3947,6521,4940,2859,1055,1220,121691
"De 12 a 14 años (001)",67,22,2,17,3,,,,,,45,23
"De 15 a 19 años (002)",853,765,12,658,81,13,1,,,,88,863
"De 20 a 24 años (003)",3118,2756,23,1449,894,310,74,6,,,362,4516
"De 25 a 29 años (004)",3452,3187,18,901,955,710,548,52,3,,265,7623
"De 30 a 34 años (005)",3411,3276,9,503,783,759,915,268,36,3,135,10370
"De 35 a 39 años (006)",3370,3292,9,322,479,647,1087,574,155,19,78,13189
"De 40 a 44 años (007)",3048,2976,8,202,345,382,913,695,327,104,72,14442
"De 45 a 49 años (008)",2742,2692,9,158,241,277,729,723,415,140,50,14409
"De 50 y más años (009)",9796,9671,50,525,659,849,2254,2622,1923,789,125,56256
"Sin nivel (010)",11974,11699,52,983,1198,1356,2937,2770,1754,649,275,60247
"De 12 a 14 años (011)",7,3,1,2,,,,,,,4,2
"De 15 a 19 años (012)",103,92,2,72,14,4,,,,,11,112
"De 20 a 24 años (013)",452,417,1,160,157,68,28,3,,,35,816
"De 25 a 29 años (014)",683,635,1,137,158,164,151,23,1,,48,1743
"De 30 a 34 años (015)",927,889,2,90,168,208,299,100,20,2,38,3189
"De 35 a 39 años (016)",1079,1058,6,77,99,184,355,251,74,12,21,4753
"De 40 a 44 años (017)",1208,1171,3,64,103,121,351,302,175,52,37,6170
"De 45 a 49 años (018)",1202,1190,3,61,87,104,308,339,216,72,12,6702
"De 50 y más años (019)",6313,6244,33,320,412,503,1445,1752,1268,511,69,36760
"Educacion Inicial (020)",63,60,,10,14,13,19,4,,,3,185
