"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CAYLLOMA (000)",69270,3300,7598,8250,6988,12796,10686,14926,4726
"Sabe leer y escribir (001)",60163,,5991,8205,6949,12606,10336,13089,2987
"No sabe leer y escribir (002)",9107,3300,1607,45,39,190,350,1837,1739
"Hombres (004)",35597,1726,3947,4276,3550,6377,5497,7862,2362
"Sabe leer y escribir (005)",32281,,3122,4247,3531,6336,5428,7582,2035
"No sabe leer y escribir (006)",3316,1726,825,29,19,41,69,280,327
"Mujeres (008)",33673,1574,3651,3974,3438,6419,5189,7064,2364
"Sabe leer y escribir (009)",27882,,2869,3958,3418,6270,4908,5507,952
"No sabe leer y escribir (010)",5791,1574,782,16,20,149,281,1557,1412
,,,,,,,,,
"URBANA (012)",46180,2177,5224,5942,5009,8483,7211,9414,2720
"Sabe leer y escribir (013)",40555,,4167,5907,4989,8387,6998,8399,1708
"No sabe leer y escribir (014)",5625,2177,1057,35,20,96,213,1015,1012
"Hombres (016)",23148,1119,2694,3064,2505,4053,3558,4859,1296
"Sabe leer y escribir (017)",21135,,2157,3042,2496,4032,3523,4745,1140
"No sabe leer y escribir (018)",2013,1119,537,22,9,21,35,114,156
"Mujeres (020)",23032,1058,2530,2878,2504,4430,3653,4555,1424
"Sabe leer y escribir (021)",19420,,2010,2865,2493,4355,3475,3654,568
"No sabe leer y escribir (022)",3612,1058,520,13,11,75,178,901,856
,,,,,,,,,
"RURAL (024)",23090,1123,2374,2308,1979,4313,3475,5512,2006
"Sabe leer y escribir (025)",19608,,1824,2298,1960,4219,3338,4690,1279
"No sabe leer y escribir (026)",3482,1123,550,10,19,94,137,822,727
"Hombres (028)",12449,607,1253,1212,1045,2324,1939,3003,1066
"Sabe leer y escribir (029)",11146,,965,1205,1035,2304,1905,2837,895
"No sabe leer y escribir (030)",1303,607,288,7,10,20,34,166,171
"Mujeres (032)",10641,516,1121,1096,934,1989,1536,2509,940
"Sabe leer y escribir (033)",8462,,859,1093,925,1915,1433,1853,384
"No sabe leer y escribir (034)",2179,516,262,3,9,74,103,656,556
