"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SAN MARCOS (000)",14442,1668,2029,7913,211,2299,322
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",24,22,,,2,,
"Profes., científicos e intelectuales (002)",910,804,,97,6,3,
"Técnicos de nivel medio y trab. asimilados (003)",199,126,,64,7,2,
"Jefes y empleados de oficina (004)",207,206,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",923,170,7,664,9,73,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",6082,,1,5933,148,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",529,,107,398,8,16,
"Obreros construc.,conf.,papel, fab., instr. (008)",550,81,179,262,21,7,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",4472,158,1635,245,,2112,322
"Otra (010)",24,24,,,,,
"Ocupación no especificada (011)",522,77,100,250,10,85,
"Hombres (012)",11370,938,1699,6986,200,1527,20
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",22,20,,,2,,
"Profes., científicos e intelectuales (014)",485,424,,55,5,1,
"Técnicos de nivel medio y trab. asimilados (015)",136,77,,53,5,1,
"Jefes y empleados de oficina (016)",108,108,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",452,82,3,344,6,17,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5843,,1,5696,146,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",425,,91,315,7,12,
"Obreros construc.,conf.,papel, fab., instr. (020)",537,80,176,253,21,7,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3059,78,1350,145,,1466,20
"Otra (022)",24,24,,,,,
"Ocupación no especificada (023)",279,45,78,125,8,23,
"Mujeres (024)",3072,730,330,927,11,772,302
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,2,,,,,
"Profes., científicos e intelectuales (026)",425,380,,42,1,2,
"Técnicos de nivel medio y trab. asimilados (027)",63,49,,11,2,1,
"Jefes y empleados de oficina (028)",99,98,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",471,88,4,320,3,56,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",239,,,237,2,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",104,,16,83,1,4,
"Obreros construc.,conf.,papel, fab., instr. (032)",13,1,3,9,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1413,80,285,100,,646,302
"Ocupación no especificada (035)",243,32,22,125,2,62,
,,,,,,,
"URBANA (036)",4343,1364,536,1978,63,247,155
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",15,13,,,2,,
"Profes., científicos e intelectuales (038)",760,675,,77,6,2,
"Técnicos de nivel medio y trab. asimilados (039)",163,107,,47,7,2,
"Jefes y empleados de oficina (040)",168,167,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",726,142,4,509,9,62,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",677,,1,657,19,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",289,,56,226,5,2,
"Obreros construc.,conf.,papel, fab., instr. (044)",365,71,124,162,6,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",940,124,319,187,,155,155
"Otra (046)",23,23,,,,,
"Ocupación no especificada (047)",217,42,32,113,9,21,
"Hombres (048)",2902,769,476,1448,55,147,7
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",13,11,,,2,,
"Profes., científicos e intelectuales (050)",403,353,,44,5,1,
"Técnicos de nivel medio y trab. asimilados (051)",110,67,,37,5,1,
"Jefes y empleados de oficina (052)",85,85,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",369,73,2,273,6,15,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",623,,1,603,19,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",240,,54,179,5,2,
"Obreros construc.,conf.,papel, fab., instr. (056)",358,71,121,158,6,2,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",558,63,273,101,,114,7
"Otra (058)",23,23,,,,,
"Ocupación no especificada (059)",120,23,25,53,7,12,
"Mujeres (060)",1441,595,60,530,8,100,148
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",357,322,,33,1,1,
"Técnicos de nivel medio y trab. asimilados (063)",53,40,,10,2,1,
"Jefes y empleados de oficina (064)",83,82,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",357,69,2,236,3,47,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",54,,,54,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",49,,2,47,,,
"Obreros construc.,conf.,papel, fab., instr. (068)",7,,3,4,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",382,61,46,86,,41,148
"Ocupación no especificada (071)",97,19,7,60,2,9,
,,,,,,,
"RURAL (072)",10099,304,1493,5935,148,2052,167
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",9,9,,,,,
"Profes., científicos e intelectuales (074)",150,129,,20,,1,
"Técnicos de nivel medio y trab. asimilados (075)",36,19,,17,,,
"Jefes y empleados de oficina (076)",39,39,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",197,28,3,155,,11,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",5405,,,5276,129,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",240,,51,172,3,14,
"Obreros construc.,conf.,papel, fab., instr. (080)",185,10,55,100,15,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",3532,34,1316,58,,1957,167
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",305,35,68,137,1,64,
"Hombres (084)",8468,169,1223,5538,145,1380,13
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",9,9,,,,,
"Profes., científicos e intelectuales (086)",82,71,,11,,,
"Técnicos de nivel medio y trab. asimilados (087)",26,10,,16,,,
"Jefes y empleados de oficina (088)",23,23,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",83,9,1,71,,2,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",5220,,,5093,127,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",185,,37,136,2,10,
"Obreros construc.,conf.,papel, fab., instr. (092)",179,9,55,95,15,5,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2501,15,1077,44,,1352,13
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",159,22,53,72,1,11,
"Mujeres (096)",1631,135,270,397,3,672,154
"Profes., científicos e intelectuales (098)",68,58,,9,,1,
"Técnicos de nivel medio y trab. asimilados (099)",10,9,,1,,,
"Jefes y empleados de oficina (100)",16,16,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (101)",114,19,2,84,,9,
