"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CHEPEN (000)",21886,17048,4838
"Casa independiente (001)",20866,16281,4585
"Departamento en edificio (002)",162,162,
"Vivienda en quinta (003)",352,352,
"Vivienda en casa de vecindad (004)",225,225,
"Choza o cabaña (005)",251,,251
"Vivienda improvisada (006)",15,15,
"Local no dest.para hab. humana (007)",13,12,1
"Otro tipo (008)",2,1,1
