"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CALCA (000)",21690,18007,2008,950,725
"Sin nivel (001)",3049,2792,209,44,4
"Educación inicial (002)",50,47,3,,
"Primaria (003)",8534,7575,741,153,65
"Secundaria (004)",6971,5822,632,239,278
"Superior no univ. incompleta (005)",688,523,62,58,45
"Superior no univ. completa (006)",1072,562,171,229,110
"Superior univ. incompleta (007)",423,301,36,37,49
"Superior univ. completa (008)",903,385,154,190,174
"De 06 a 14 años (010)",490,434,39,17,
"Sin nivel (011)",43,37,1,5,
"Educación inicial (012)",9,7,2,,
"Primaria (013)",321,280,29,12,
"Secundaria (014)",117,110,7,,
"De 15 a 29 años (020)",6794,5585,706,268,235
"Sin nivel (021)",380,353,20,6,1
"Educación inicial (022)",23,22,1,,
"Primaria (023)",2118,1837,224,44,13
"Secundaria (024)",3223,2702,312,100,109
"Superior no univ. incompleta (025)",333,249,43,21,20
"Superior no univ. completa (026)",384,225,60,54,45
"Superior univ. incompleta (027)",144,102,12,15,15
"Superior univ. completa (028)",189,95,34,28,32
"De 30 a 44 años (030)",7469,5997,744,412,316
"Sin nivel (031)",815,738,63,12,2
"Educación inicial (032)",18,18,,,
"Primaria (033)",2927,2570,263,65,29
"Secundaria (034)",2395,1977,215,87,116
"Superior no univ. incompleta (035)",254,187,18,31,18
"Superior no univ. completa (036)",496,240,92,117,47
"Superior univ. incompleta (037)",129,93,11,7,18
"Superior univ. completa (038)",435,174,82,93,86
"De 45 a 64 años (040)",5349,4515,431,239,164
"Sin nivel (041)",1118,1022,80,15,1
"Primaria (043)",2465,2225,191,30,19
"Secundaria (044)",1110,916,95,51,48
"Superior no univ. incompleta (045)",93,79,1,6,7
"Superior no univ. completa (046)",178,86,19,55,18
"Superior univ. incompleta (047)",136,93,12,15,16
"Superior univ. completa (048)",249,94,33,67,55
"De 65 y más años (050)",1588,1476,88,14,10
"Sin nivel (051)",693,642,45,6,
"Primaria (053)",703,663,34,2,4
"Secundaria (054)",126,117,3,1,5
"Superior no univ. incompleta (055)",8,8,,,
"Superior no univ. completa (056)",14,11,,3,
"Superior univ. incompleta (057)",14,13,1,,
"Superior univ. completa (058)",30,22,5,2,1
,,,,,
"URBANA (060)",8795,6730,809,692,564
