"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia LAMAS (000)",32666,2753,62,19639,7873,499,972,238,630
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",51,,,5,21,1,12,3,9
"Profes., científicos e intelectuales (002)",957,,,,48,60,410,89,350
"Técnicos de nivel medio ytrab.asimilados (003)",291,,,15,68,46,114,17,31
"Jefes y empleados de oficina (004)",409,,,2,151,65,109,22,60
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",1708,43,3,681,741,67,94,28,51
"Agricult.trabaj. calif.agrop. y pesquros (006)",14578,1329,15,10122,2934,60,50,26,42
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",560,11,,209,256,26,38,3,17
"Obreros. construc., conf., papel, fab., instr (008)",1022,8,1,285,581,68,48,13,18
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",12393,1261,42,7954,2922,90,61,28,35
"Otra (010)",42,,,,3,4,26,2,7
"Ocupación no especificada (011)",655,101,1,366,148,12,10,7,10
"Hombres (012)",23680,1293,37,14720,6168,329,564,167,402
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",43,,,5,15,1,12,3,7
"Profes., científicos e intelectuales (014)",527,,,,25,30,211,58,203
"Técnicos de nivel medio ytrab.asimilados (015)",200,,,13,58,31,63,12,23
"Jefes y empleados de oficina (016)",206,,,2,90,29,42,10,33
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",733,8,2,284,319,30,43,16,31
"Agricult.trabaj. calif.agrop. y pesquros (018)",13090,942,10,9207,2765,55,46,26,39
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",438,5,,150,214,22,29,3,15
"Obreros. construc., conf., papel, fab., instr (020)",1007,5,1,279,577,68,47,13,17
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",7254,327,23,4713,2059,54,39,19,20
"Otra (022)",42,,,,3,4,26,2,7
"Ocupación no especificada (023)",140,6,1,67,43,5,6,5,7
"Mujeres (024)",8986,1460,25,4919,1705,170,408,71,228
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",8,,,,6,,,,2
"Profes., científicos e intelectuales (026)",430,,,,23,30,199,31,147
"Técnicos de nivel medio ytrab.asimilados (027)",91,,,2,10,15,51,5,8
"Jefes y empleados de oficina (028)",203,,,,61,36,67,12,27
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",975,35,1,397,422,37,51,12,20
"Agricult.trabaj. calif.agrop. y pesquros (030)",1488,387,5,915,169,5,4,,3
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",122,6,,59,42,4,9,,2
"Obreros. construc., conf., papel, fab., instr (032)",15,3,,6,4,,1,,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",5139,934,19,3241,863,36,22,9,15
"Ocupación no especificada (035)",515,95,,299,105,7,4,2,3
,,,,,,,,,
"URBANA (036)",15840,886,25,7854,5008,423,858,211,575
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",49,,,4,20,1,12,3,9
"Profes., científicos e intelectuales (038)",842,,,,43,44,349,82,324
