"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",6594,32,602,163,192,362,2229,654,274,1764,43,105,174
"Agric., ganadería, caza y silvicultura (001)",3268,,,1,,,2226,1,,1040,,,
"Pesca (002)",5,,,,,,3,,,2,,,
"Explotación de minas y canteras (003)",855,,57,51,29,,,448,27,243,,,
"Industrias manufactureras (004)",147,,5,7,1,,,123,10,1,,,
"Suministro de electricidad, gas y agua (005)",12,,3,,2,,,5,1,1,,,
"Construcción (006)",342,1,5,15,1,,,27,111,182,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",360,,1,3,,258,,41,,57,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",38,,1,2,,2,,33,,,,,
"Comercio al por mayor (009)",13,,,,,13,,,,,,,
"Comercio al por menor (010)",309,,,1,,243,,8,,57,,,
"Hoteles y restaurantes (011)",127,,,2,,81,,,,44,,,
"Trans., almac. y comunicaciones (012)",132,,,7,7,,,3,104,11,,,
"Intermediación financiera (013)",3,,,,2,,,,,1,,,
"Activid.inmobil., empres. y alquileres (014)",85,,14,23,10,14,,3,9,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",326,26,14,11,110,2,,3,7,110,43,,
"Enseñanza (016)",492,4,460,1,23,,,,4,,,,
"Servicios sociales y de salud (017)",87,,35,40,2,6,,,1,3,,,
"Otras activ. serv.comun.soc y personales (018)",19,1,5,,3,1,,,,9,,,
"Hogares privados con servicio doméstico (019)",48,,,,,,,,,48,,,
"Actividad economica no especificada (021)",112,,3,2,2,,,,,,,105,
"Desocupado (022)",174,,,,,,,,,,,,174
"Hombres (023)",4626,23,318,138,125,137,1657,640,270,1079,42,61,136
"Agric., ganadería, caza y silvicultura (024)",2163,,,1,,,1654,,,508,,,
"Pesca (025)",4,,,,,,3,,,1,,,
"Explotación de minas y canteras (026)",839,,49,50,24,,,447,27,242,,,
"Industrias manufactureras (027)",132,,2,7,1,,,111,10,1,,,
"Suministro de electricidad, gas y agua (028)",11,,2,,2,,,5,1,1,,,
"Construcción (029)",327,1,5,15,1,,,27,110,168,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",169,,1,2,,97,,41,,28,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",38,,1,2,,2,,33,,,,,
"Comercio al por mayor (032)",7,,,,,7,,,,,,,
"Comercio al por menor (033)",124,,,,,88,,8,,28,,,
"Hoteles y restaurantes (034)",39,,,,,24,,,,15,,,
"Trans., almac. y comunicaciones (035)",128,,,7,7,,,3,102,9,,,
"Intermediación financiera (036)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (037)",72,,7,22,8,12,,3,8,12,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",240,20,11,9,68,2,,3,7,78,42,,
"Enseñanza (039)",244,2,229,,9,,,,4,,,,
"Servicios sociales y de salud (040)",39,,10,23,1,2,,,1,2,,,
"Otras activ. serv.comun.soc y personales (041)",11,,2,,3,,,,,6,,,
"Hogares privados con servicio doméstico (042)",7,,,,,,,,,7,,,
"Actividad economica no especificada (044)",64,,,2,1,,,,,,,61,
"Desocupado (045)",136,,,,,,,,,,,,136
"Mujeres (046)",1968,9,284,25,67,225,572,14,4,685,1,44,38
"Agric., ganadería, caza y silvicultura (047)",1105,,,,,,572,1,,532,,,
"Pesca (048)",1,,,,,,,,,1,,,
"Explotación de minas y canteras (049)",16,,8,1,5,,,1,,1,,,
"Industrias manufactureras (050)",15,,3,,,,,12,,,,,
"Suministro de electricidad, gas y agua (051)",1,,1,,,,,,,,,,
"Construcción (052)",15,,,,,,,,1,14,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",191,,,1,,161,,,,29,,,
"Comercio al por mayor (055)",6,,,,,6,,,,,,,
"Comercio al por menor (056)",185,,,1,,155,,,,29,,,
"Hoteles y restaurantes (057)",88,,,2,,57,,,,29,,,
"Trans., almac. y comunicaciones (058)",4,,,,,,,,2,2,,,
"Intermediación financiera (059)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",13,,7,1,2,2,,,1,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",86,6,3,2,42,,,,,32,1,,
"Enseñanza (062)",248,2,231,1,14,,,,,,,,
"Servicios sociales y de salud (063)",48,,25,17,1,4,,,,1,,,
"Otras activ. serv.comun.soc y personales (064)",8,1,3,,,1,,,,3,,,
"Hogares privados con servicio doméstico (065)",41,,,,,,,,,41,,,
"Actividad economica no especificada (067)",48,,3,,1,,,,,,,44,
"Desocupado (068)",38,,,,,,,,,,,,38
,,,,,,,,,,,,,
"URBANA (069)",2682,25,411,106,154,246,382,426,142,625,39,42,84
"Agric., ganadería, caza y silvicultura (070)",561,,,,,,382,,,179,,,
"Explotación de minas y canteras (072)",557,,41,34,18,,,280,16,168,,,
"Industrias manufactureras (073)",102,,5,5,1,,,89,2,,,,
"Suministro de electricidad, gas y agua (074)",4,,2,,,,,1,,1,,,
"Construcción (075)",151,1,2,7,,,,18,47,76,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",256,,1,3,,179,,31,,42,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",29,,1,2,,1,,25,,,,,
"Comercio al por mayor (078)",10,,,,,10,,,,,,,
"Comercio al por menor (079)",217,,,1,,168,,6,,42,,,
"Hoteles y restaurantes (080)",80,,,,,53,,,,27,,,
"Trans., almac. y comunicaciones (081)",88,,,5,5,,,3,66,9,,,
"Intermediación financiera (082)",3,,,,2,,,,,1,,,
"Activid.inmobil., empres. y alquileres (083)",47,,10,13,9,6,,1,4,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",263,20,14,10,96,2,,3,6,73,39,,
"Enseñanza (085)",319,3,298,1,17,,,,,,,,
"Servicios sociales y de salud (086)",68,,31,26,2,5,,,1,3,,,
"Otras activ. serv.comun.soc y personales (087)",14,1,5,,2,1,,,,5,,,
"Hogares privados con servicio doméstico (088)",37,,,,,,,,,37,,,
"Actividad economica no especificada (090)",48,,2,2,2,,,,,,,42,
"Desocupado (091)",84,,,,,,,,,,,,84
"Hombres (092)",1891,19,197,90,95,84,289,417,140,441,39,24,56
"Agric., ganadería, caza y silvicultura (093)",391,,,,,,289,,,102,,,
"Explotación de minas y canteras (095)",543,,33,33,15,,,279,16,167,,,
"Industrias manufactureras (096)",91,,2,5,1,,,81,2,,,,
"Suministro de electricidad, gas y agua (097)",4,,2,,,,,1,,1,,,
"Construcción (098)",150,1,2,7,,,,18,47,75,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",113,,1,2,,63,,31,,16,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",29,,1,2,,1,,25,,,,,
"Comercio al por mayor (101)",6,,,,,6,,,,,,,
"Comercio al por menor (102)",78,,,,,56,,6,,16,,,
"Hoteles y restaurantes (103)",23,,,,,12,,,,11,,,
"Trans., almac. y comunicaciones (104)",84,,,5,5,,,3,64,7,,,
"Intermediación financiera (105)",1,,,,,,,,,1,,,
"Activid.inmobil., empres. y alquileres (106)",37,,4,12,7,5,,1,4,4,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",188,16,11,8,55,2,,3,6,48,39,,
"Enseñanza (108)",142,2,132,,8,,,,,,,,
"Servicios sociales y de salud (109)",30,,8,16,1,2,,,1,2,,,
"Otras activ. serv.comun.soc y personales (110)",8,,2,,2,,,,,4,,,
"Hogares privados con servicio doméstico (111)",3,,,,,,,,,3,,,
"Actividad economica no especificada (113)",27,,,2,1,,,,,,,24,
"Desocupado (114)",56,,,,,,,,,,,,56
"Mujeres (115)",791,6,214,16,59,162,93,9,2,184,,18,28
"Agric., ganadería, caza y silvicultura (116)",170,,,,,,93,,,77,,,
"Explotación de minas y canteras (118)",14,,8,1,3,,,1,,1,,,
"Industrias manufactureras (119)",11,,3,,,,,8,,,,,
"Construcción (121)",1,,,,,,,,,1,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",143,,,1,,116,,,,26,,,
"Comercio al por mayor (124)",4,,,,,4,,,,,,,
"Comercio al por menor (125)",139,,,1,,112,,,,26,,,
"Hoteles y restaurantes (126)",57,,,,,41,,,,16,,,
"Trans., almac. y comunicaciones (127)",4,,,,,,,,2,2,,,
"Intermediación financiera (128)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",10,,6,1,2,1,,,,,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",75,4,3,2,41,,,,,25,,,
"Enseñanza (131)",177,1,166,1,9,,,,,,,,
"Servicios sociales y de salud (132)",38,,23,10,1,3,,,,1,,,
"Otras activ. serv.comun.soc y personales (133)",6,1,3,,,1,,,,1,,,
"Hogares privados con servicio doméstico (134)",34,,,,,,,,,34,,,
"Actividad economica no especificada (136)",21,,2,,1,,,,,,,18,
"Desocupado (137)",28,,,,,,,,,,,,28
,,,,,,,,,,,,,
"RURAL (138)",3912,7,191,57,38,116,1847,228,132,1139,4,63,90
"Agric., ganadería, caza y silvicultura (139)",2707,,,1,,,1844,1,,861,,,
"Pesca (140)",5,,,,,,3,,,2,,,
"Explotación de minas y canteras (141)",298,,16,17,11,,,168,11,75,,,
"Industrias manufactureras (142)",45,,,2,,,,34,8,1,,,
"Suministro de electricidad, gas y agua (143)",8,,1,,2,,,4,1,,,,
"Construcción (144)",191,,3,8,1,,,9,64,106,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",104,,,,,79,,10,,15,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",9,,,,,1,,8,,,,,
"Comercio al por mayor (147)",3,,,,,3,,,,,,,
"Comercio al por menor (148)",92,,,,,75,,2,,15,,,
"Hoteles y restaurantes (149)",47,,,2,,28,,,,17,,,
"Trans., almac. y comunicaciones (150)",44,,,2,2,,,,38,2,,,
"Activid.inmobil., empres. y alquileres (152)",38,,4,10,1,8,,2,5,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (153)",63,6,,1,14,,,,1,37,4,,
"Enseñanza (154)",173,1,162,,6,,,,4,,,,
"Servicios sociales y de salud (155)",19,,4,14,,1,,,,,,,
"Otras activ. serv.comun.soc y personales (156)",5,,,,1,,,,,4,,,
