"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BARRANCA (000)",126520,4938,11663,13907,13300,22785,19111,30358,10458
"Sabe leer y escribir (001)",113759,,9470,13814,13208,22456,18676,28054,8081
"No sabe leer y escribir (002)",12761,4938,2193,93,92,329,435,2304,2377
"Hombres (004)",63468,2466,5928,7042,6754,11421,9397,15019,5441
"Sabe leer y escribir (005)",58436,,4744,6989,6707,11302,9258,14547,4889
"No sabe leer y escribir (006)",5032,2466,1184,53,47,119,139,472,552
"Mujeres (008)",63052,2472,5735,6865,6546,11364,9714,15339,5017
"Sabe leer y escribir (009)",55323,,4726,6825,6501,11154,9418,13507,3192
"No sabe leer y escribir (010)",7729,2472,1009,40,45,210,296,1832,1825
,,,,,,,,,
"URBANA (012)",108118,4152,9909,11796,11307,19259,16360,26298,9037
"Sabe leer y escribir (013)",98213,,8152,11723,11241,19032,16103,24685,7277
"No sabe leer y escribir (014)",9905,4152,1757,73,66,227,257,1613,1760
"Hombres (016)",53764,2083,5004,5934,5696,9553,7922,12897,4675
"Sabe leer y escribir (017)",49821,,4049,5893,5659,9463,7836,12604,4317
"No sabe leer y escribir (018)",3943,2083,955,41,37,90,86,293,358
"Mujeres (020)",54354,2069,4905,5862,5611,9706,8438,13401,4362
"Sabe leer y escribir (021)",48392,,4103,5830,5582,9569,8267,12081,2960
"No sabe leer y escribir (022)",5962,2069,802,32,29,137,171,1320,1402
,,,,,,,,,
"RURAL (024)",18402,786,1754,2111,1993,3526,2751,4060,1421
"Sabe leer y escribir (025)",15546,,1318,2091,1967,3424,2573,3369,804
"No sabe leer y escribir (026)",2856,786,436,20,26,102,178,691,617
"Hombres (028)",9704,383,924,1108,1058,1868,1475,2122,766
"Sabe leer y escribir (029)",8615,,695,1096,1048,1839,1422,1943,572
"No sabe leer y escribir (030)",1089,383,229,12,10,29,53,179,194
"Mujeres (032)",8698,403,830,1003,935,1658,1276,1938,655
"Sabe leer y escribir (033)",6931,,623,995,919,1585,1151,1426,232
"No sabe leer y escribir (034)",1767,403,207,8,16,73,125,512,423
