"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARABAYA (000)",24576,3167,20,11608,7518,479,676,290,818
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",31,,,5,12,1,2,4,7
"Profes., científicos e intelectuales (002)",1015,,,,68,63,263,48,573
"Técnicos de nivel medio ytrab.asimilados (003)",288,3,,22,64,30,103,19,47
"Jefes y empleados de oficina (004)",285,,,3,74,38,65,38,67
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",1532,73,2,609,671,67,51,32,27
"Agricult.trabaj. calif.agrop. y pesquros (006)",9663,1516,5,5404,2599,58,29,35,17
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",1483,40,,551,768,39,46,22,17
"Obreros. construc., conf., papel, fab., instr (008)",830,11,,206,464,63,40,30,16
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",8967,1466,13,4617,2633,101,61,48,28
"Otra (010)",55,,,,16,11,9,9,10
"Ocupación no especificada (011)",427,58,,191,149,8,7,5,9
"Hombres (012)",15403,1007,6,7114,5662,358,457,225,574
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",24,,,2,11,1,1,4,5
"Profes., científicos e intelectuales (014)",640,,,,28,32,159,34,387
"Técnicos de nivel medio ytrab.asimilados (015)",201,1,,15,49,23,60,17,36
"Jefes y empleados de oficina (016)",195,,,3,56,20,44,25,47
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",545,8,1,178,261,36,27,17,17
"Agricult.trabaj. calif.agrop. y pesquros (018)",7436,748,1,4336,2227,52,26,29,17
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",1362,25,,502,718,38,45,18,16
"Obreros. construc., conf., papel, fab., instr (020)",813,10,,201,457,63,37,30,15
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",3928,203,4,1794,1749,77,45,38,18
"Otra (022)",55,,,,16,11,9,9,10
"Ocupación no especificada (023)",204,12,,83,90,5,4,4,6
"Mujeres (024)",9173,2160,14,4494,1856,121,219,65,244
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",7,,,3,1,,1,,2
"Profes., científicos e intelectuales (026)",375,,,,40,31,104,14,186
"Técnicos de nivel medio ytrab.asimilados (027)",87,2,,7,15,7,43,2,11
"Jefes y empleados de oficina (028)",90,,,,18,18,21,13,20
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",987,65,1,431,410,31,24,15,10
"Agricult.trabaj. calif.agrop. y pesquros (030)",2227,768,4,1068,372,6,3,6,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",121,15,,49,50,1,1,4,1
"Obreros. construc., conf., papel, fab., instr (032)",17,1,,5,7,,3,,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",5039,1263,9,2823,884,24,16,10,10
"Ocupación no especificada (035)",223,46,,108,59,3,3,1,3
,,,,,,,,,
"URBANA (036)",8154,659,2,2917,2901,311,492,206,666
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",21,,,3,7,1,2,3,5
"Profes., científicos e intelectuales (038)",779,,,,41,47,181,36,474
